player,team,minutes,interceptions,tackles_won,goals,assists,defensive_output
Marvin Senaya,Ghana,278.0,6.0,12.0,0.0,0.0,2.039568345323741
Rayan Aït-Nouri,Algeria,284.0,5.0,13.0,0.0,0.0,1.9964788732394365
Merchas Doski,Iraq,270.0,6.0,9.0,0.0,0.0,1.7499999999999998
Khuliso Mudau,South Africa,360.0,11.0,8.0,0.0,0.0,1.6624999999999999
Mohamed Amine Ben Hamida,Tunisia,202.0,1.0,9.0,0.0,0.0,1.5594059405940592
Ali Abdi,Tunisia,269.0,4.0,8.0,0.0,0.0,1.4052044609665424
Yazan Al-Arab,Jordan,270.0,11.0,1.0,0.0,0.0,1.4000000000000001
Stefan Posch,Austria,331.0,10.0,4.0,0.0,0.0,1.3323262839879153
Dayot Upamecano,France,660.0,15.0,12.0,0.0,1.0,1.3295454545454546
Saud Abdulhamid,Saudi Arabia,269.0,2.0,9.0,0.0,0.0,1.2881040892193307
Denis Zakaria,Switzerland,357.0,9.0,5.0,0.0,0.0,1.2857142857142856
Alan Franco,Ecuador,251.0,4.0,6.0,0.0,0.0,1.2549800796812747
Marcos Llorente,Spain,187.0,1.0,6.0,0.0,1.0,1.2272727272727273
Djed Spence,England,404.0,5.0,10.0,0.0,0.0,1.2141089108910892
Abdallah Nasib,Jordan,260.0,7.0,3.0,0.0,0.0,1.2115384615384617
Emmanuel Agbadou,Côte d'Ivoire,270.0,4.0,6.0,0.0,0.0,1.2
Edson Álvarez,Mexico,240.0,3.0,6.0,0.0,0.0,1.18125
Juan Cáceres,Paraguay,436.0,5.0,11.0,0.0,0.0,1.1766055045871562
Alex Freeman,United States,374.0,7.0,6.0,1.0,1.0,1.1671122994652408
Sherel Floranus,Curaçao,270.0,4.0,6.0,0.0,0.0,1.1666666666666665
Martin Expérience,Haiti,270.0,4.0,6.0,0.0,0.0,1.1666666666666665
Pedro Porro,Spain,563.0,8.0,11.0,2.0,0.0,1.1429840142095913
Douglas Santos,Brazil,441.0,6.0,10.0,0.0,0.0,1.1428571428571428
Gideon Mensah,Ghana,360.0,8.0,5.0,0.0,0.0,1.1375
Ramy Bensebaini,Algeria,360.0,7.0,6.0,0.0,0.0,1.1374999999999997
Julian Ryerson,Norway,223.0,0.0,8.0,0.0,0.0,1.1300448430493273
Cristian Romero,Argentina,608.0,11.0,10.0,1.0,0.0,1.117598684210526
Rustam Ashurmatov,Uzbekistan,256.0,7.0,2.0,0.0,0.0,1.107421875
Ahmed Fatouh,Egypt,267.0,4.0,5.0,0.0,0.0,1.0955056179775282
Tarik Muharemovic,Bosnia–Herz,259.0,8.0,1.0,0.0,0.0,1.0945945945945947
Nikola Katić,Bosnia–Herz,317.0,5.0,6.0,0.0,0.0,1.0930599369085172
Júnior Alonso,Paraguay,390.0,4.0,9.0,0.0,0.0,1.073076923076923
Krépin Diatta,Senegal,390.0,3.0,10.0,0.0,0.0,1.0499999999999998
Lee Gi-hyuk,Korea Republic,270.0,5.0,4.0,0.0,0.0,1.0499999999999998
Deveron Fonville,Curaçao,241.0,5.0,3.0,0.0,0.0,1.045643153526971
Nathan Ngoy,Belgium,335.0,7.0,4.0,0.0,0.0,1.0343283582089553
Gonzalo Montiel,Argentina,192.0,3.0,3.0,0.0,1.0,1.03125
Timothy Castagne,Belgium,478.0,8.0,7.0,0.0,1.0,1.0261506276150627
Nathaniel Brown,Germany,282.0,2.0,6.0,1.0,1.0,1.0212765957446808
Nicolás Otamendi,Argentina,247.0,6.0,2.0,0.0,0.0,1.020242914979757
Mohamed Hany,Egypt,480.0,6.0,9.0,0.0,1.0,1.003125
Ramin Rezaeian,IR Iran,270.0,2.0,5.0,2.0,1.0,0.9833333333333333
Aaron Wan-Bissaka,Congo DR,354.0,7.0,4.0,0.0,0.0,0.9788135593220338
Omar Rekik,Tunisia,180.0,3.0,2.0,1.0,0.0,0.975
Pico,Cabo Verde,390.0,7.0,5.0,0.0,0.0,0.9692307692307691
Amar Dedić,Bosnia–Herz,270.0,1.0,7.0,0.0,0.0,0.9666666666666667
Milad Mohammadi,IR Iran,205.0,2.0,4.0,0.0,0.0,0.9658536585365853
Mohannad Abu Taha,Jordan,264.0,6.0,2.0,0.0,0.0,0.9545454545454545
Facundo Medina,Argentina,308.0,2.0,7.0,0.0,1.0,0.9496753246753247
Achraf Hakimi,Morocco,570.0,5.0,10.0,1.0,2.0,0.9394736842105262
João Cancelo,Portugal,312.0,5.0,4.0,0.0,1.0,0.9374999999999999
Diney,Cabo Verde,390.0,4.0,7.0,0.0,0.0,0.9346153846153846
Armando Obispo,Curaçao,270.0,7.0,1.0,0.0,0.0,0.9333333333333333
Guillermo Varela,Uruguay,270.0,7.0,1.0,0.0,0.0,0.9333333333333333
Abdukodir Khusanov,Uzbekistan,270.0,5.0,3.0,0.0,0.0,0.9333333333333332
Fredrik Aursnes,Norway,304.0,1.0,8.0,0.0,0.0,0.9325657894736841
Guéla Doué,Côte d'Ivoire,277.0,3.0,5.0,0.0,0.0,0.9097472924187725
Antonee Robinson,United States,348.0,6.0,4.0,0.0,0.0,0.9051724137931034
Abdulelah Al-Amri,Saudi Arabia,239.0,4.0,2.0,1.0,0.0,0.903765690376569
Willian Pacho,Ecuador,360.0,8.0,2.0,0.0,0.0,0.9
Gustaf Lagerbielke,Sweden,360.0,5.0,5.0,0.0,0.0,0.9
Hassan Al Tambakti,Saudi Arabia,212.0,3.0,3.0,0.0,0.0,0.8915094339622641
Daniel Muñoz,Colombia,394.0,7.0,3.0,2.0,0.0,0.8908629441624365
Josip Šutalo,Croatia,360.0,6.0,4.0,0.0,0.0,0.8749999999999999
Abdulla Abdullaev,Uzbekistan,180.0,3.0,2.0,0.0,0.0,0.8749999999999999
Jorge Sánchez,Mexico,348.0,5.0,4.0,0.0,1.0,0.8663793103448276
Abdülkerim Bardakcı,Türkiye,265.0,2.0,5.0,0.0,0.0,0.8660377358490564
Nathan Patterson,Scotland,185.0,3.0,2.0,0.0,0.0,0.8513513513513513
Ró-Ró,Qatar,270.0,3.0,4.0,0.0,0.0,0.85
Ricardo Adé,Haiti,270.0,5.0,2.0,0.0,0.0,0.85
Aubrey Modiba,South Africa,346.0,4.0,5.0,0.0,0.0,0.8453757225433526
Joel Ordóñez,Ecuador,225.0,1.0,5.0,0.0,0.0,0.84
Moteb Al-Harbi,Saudi Arabia,188.0,4.0,1.0,0.0,0.0,0.8377659574468084
Piero Hincapié,Ecuador,339.0,4.0,5.0,0.0,0.0,0.8362831858407078
Richie Laryea,Canada,429.0,2.0,9.0,0.0,0.0,0.8286713286713286
Montassar Talbi,Tunisia,270.0,5.0,2.0,0.0,0.0,0.8166666666666667
Hannes Delcroix,Haiti,270.0,4.0,3.0,0.0,0.0,0.8166666666666667
Mbekezeli Mbokazi,South Africa,360.0,4.0,5.0,0.0,0.0,0.8125
Kristoffer Ajer,Norway,480.0,4.0,8.0,0.0,0.0,0.8062499999999999
Manuel Akanji,Switzerland,600.0,6.0,9.0,0.0,0.0,0.8024999999999999
Ivan Perišić,Croatia,360.0,4.0,4.0,1.0,1.0,0.8
Joshua Kimmich,Germany,351.0,4.0,4.0,0.0,2.0,0.7948717948717949
Sead Kolašinac,Bosnia–Herz,337.0,2.0,6.0,0.0,1.0,0.7744807121661721
Aymeric Laporte,Spain,727.0,14.0,3.0,0.0,1.0,0.7737276478679505
Juan Manuel Sanabria,Uruguay,204.0,1.0,4.0,0.0,0.0,0.7720588235294117
Boualem Khoukhi,Qatar,270.0,3.0,3.0,1.0,0.0,0.7666666666666666
Gabriel Gudmundsson,Sweden,330.0,5.0,3.0,0.0,0.0,0.7636363636363637
Thomas Meunier,Belgium,190.0,2.0,2.0,0.0,1.0,0.7578947368421053
Sidny Lopes Cabral,Cabo Verde,285.0,4.0,2.0,1.0,0.0,0.7578947368421051
Liberato Cacace,New Zealand,220.0,3.0,2.0,0.0,0.0,0.7568181818181817
Sherzod Nasrullaev,Uzbekistan,180.0,2.0,2.0,0.0,0.0,0.75
Anass Salah-Eddine,Morocco,212.0,0.0,5.0,0.0,0.0,0.7429245283018868
Alessandro Circati,Australia,390.0,2.0,7.0,0.0,0.0,0.7269230769230768
Konrad Laimer,Austria,360.0,2.0,6.0,0.0,1.0,0.725
Lisandro Martínez,Argentina,624.0,6.0,7.0,1.0,1.0,0.7139423076923076
Ramy Rabia,Egypt,372.0,3.0,5.0,0.0,0.0,0.7016129032258065
Luc De Fougerolles,Canada,372.0,2.0,6.0,0.0,0.0,0.7016129032258064
Mathías Olivera,Uruguay,270.0,2.0,4.0,0.0,0.0,0.7
Andrés Andrade Cedeño,Panama,270.0,3.0,3.0,0.0,0.0,0.7
Shoja' Khalilzadeh,IR Iran,270.0,3.0,3.0,0.0,0.0,0.7
Rúben Dias,Portugal,360.0,5.0,3.0,0.0,0.0,0.7
Danilo,Brazil,405.0,7.0,2.0,0.0,0.0,0.6999999999999998
Odilon Kossounou,Côte d'Ivoire,272.0,3.0,3.0,0.0,0.0,0.6948529411764706
