player,team,team_country,position,primary_position,age,club,games,games_starts,minutes,goals,assists,shots,shots_on_target,interceptions,tackles_won,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,goal_contribution_per90,player_rating_100,player_cluster
Unai Simón,Spain,Spain,GK,GK,29,Athletic Club,8,8,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,
Benjamin Asare,Ghana,Ghana,GK,GK,33,Unknown Club,3,2,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8052805280528,
Camilo Vargas,Colombia,Colombia,GK,GK,37,Atlas,5,5,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.56765676567657,
Kylian Mbappé,France,France,FW,FW,27,Real Madrid,8,8,695.0,10.0,4.0,41.0,23.0,0.0,1.0,1.2949640287769786,0.5179856115107914,5.309352517985611,2.9784172661870505,0.0,0.12949640287769784,1.81294964028777,85.26378896882495,1.0
Raúl Rangel,Mexico,Mexico,GK,GK,26,Guadalajara,5,5,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.98679867986799,
Patrick Beach,Australia,Australia,GK,GK,22,Melb City,4,4,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.38943894389438,
Diogo Costa,Portugal,Portugal,GK,GK,26,Porto,5,5,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.02970297029702,
Vozinha,Cabo Verde,Cape Verde,GK,GK,40,Unknown Club,4,4,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.68316831683168,
Erling Haaland,Norway,Norway,FW,FW,25,Manchester City,5,5,465.0,7.0,0.0,20.0,13.0,1.0,0.0,1.3548387096774195,0.0,3.870967741935484,2.5161290322580645,0.1935483870967742,0.0,1.3548387096774195,69.51020726196042,1.0
Orlando Gill,Paraguay,Paraguay,GK,GK,26,San Lorenzo,5,5,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34323432343233,
Alireza Beiranvand,IR Iran,Iran,GK,GK,33,Tractor,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.30349834983498,
Alisson,Brazil,Brazil,GK,GK,33,Liverpool,5,5,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.35313531353134,
Lionel Messi,Argentina,Argentina,FW,FW,38,Inter Miami,8,7,740.0,8.0,4.0,35.0,18.0,0.0,10.0,0.972972972972973,0.4864864864864865,4.256756756756757,2.1891891891891895,0.0,1.2162162162162162,1.4594594594594597,65.76165295730515,1.0
Yahia Fofana,Côte d'Ivoire,Côte d'Ivoire,GK,GK,25,Rizespor,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.67656765676568,
Gregor Kobel,Switzerland,Switzerland,GK,GK,28,Dortmund,6,6,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.07907590759075,
Mohammed Al-Owais,Saudi Arabia,Saudi Arabia,GK,GK,34,Al-Ula,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.617029702970285,
Matt Freese,United States,United States,GK,GK,27,NYCFC,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59405940594059,
Yassine Bounou,Morocco,Morocco,GK,GK,35,Al-Hilal,6,6,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.524620462046194,
Eloy Room,Curaçao,Curaçao,GK,GK,37,Miami FC,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86455445544554,
Ronwen Williams,South Africa,South Africa,GK,GK,34,Sundowns,4,4,360.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,58.38283828382838,
Mory Diaw,Senegal,Senegal,GK,GK,32,Le Havre,3,2,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.689768976897696,
Angus Gunn,Scotland,Scotland,GK,GK,30,Nottingham,3,3,270.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,57.346402640264024,
Emiliano Martínez,Argentina,Argentina,GK,GK,33,Aston Villa,8,8,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.128712871287135,
Romelu Lukaku,Belgium,Belgium,FW,FW,33,Napoli,6,1,233.0,3.0,1.0,6.0,3.0,0.0,0.0,1.1587982832618027,0.38626609442060084,2.3175965665236054,1.1587982832618027,0.0,0.0,1.5450643776824036,56.7932450083971,1.0
Zion Suzuki,Japan,Japan,GK,GK,23,Parma,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.60066006600659,
Mike Maignan,France,France,GK,GK,30,Milan,8,8,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.97359735973597,
Hernán Galíndez,Ecuador,Ecuador,GK,GK,39,Huracán,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67656765676568,
