team,team_country,games,goals,assists,goals_against,possession,shots,shots_on_target,interceptions,tackles_won,gk_saves,gk_save_pct,gk_clean_sheets,attack_rating,defensive_rating,overall_team_strength,playing_style,shots_per_game,shots_on_target_per_game,goals_per_game,interceptions_per_game,tackles_per_game,crosses_per_game,fouls_per_game,offsides_per_game
Spain,Spain,8,13,10,1,64.1,140,54,64,88,9,90.9,7,0.7097953216374269,0.9327551432029044,0.8658017536032068,Possession Attacking,17.5,6.75,1.625,8.0,11.0,20.625,12.625,2.625
Argentina,Argentina,8,18,12,8,57.6,114,44,82,93,20,71.4,2,0.8043859649122806,0.6064935064935065,0.707076151768885,Possession Attacking,14.25,5.5,2.25,10.25,11.625,13.0,14.125,2.75
France,France,8,20,18,10,55.9,139,59,65,77,12,54.5,4,1.0,0.47354295563250787,0.6779731611931408,Possession Attacking,17.375,7.375,2.5,8.125,9.625,13.625,10.5,1.75
England,England,8,20,14,12,54.1,118,53,51,77,20,62.5,2,0.9239766081871345,0.3070765861810638,0.6064970615550402,Balanced / Low Intensity,14.75,6.625,2.5,6.375,9.625,20.375,10.125,1.875
Colombia,Colombia,5,5,5,1,57.8,94,30,38,33,6,85.7,4,0.3279239766081872,0.642208839970034,0.5908808521935619,Possession Attacking,18.8,6.0,1.0,7.6,6.6,14.0,14.0,3.8
Brazil,Brazil,5,10,8,4,53.0,74,30,48,46,14,77.8,2,0.4862573099415205,0.5416103057894103,0.570680404486542,Balanced,14.8,6.0,2.0,9.6,9.2,18.6,10.2,2.2
Morocco,Morocco,6,10,9,5,59.0,69,26,40,61,14,70.0,2,0.47631578947368414,0.5173611584059346,0.5631945591683348,Possession Attacking,11.5,4.333333333333333,1.6666666666666667,6.666666666666667,10.166666666666666,13.833333333333334,12.333333333333334,1.5
Switzerland,Switzerland,6,10,6,6,54.0,74,30,52,52,20,76.9,2,0.46403508771929824,0.4879486386949074,0.5459095246306469,Balanced,12.333333333333334,5.0,1.6666666666666667,8.666666666666666,8.666666666666666,18.5,14.5,2.1666666666666665
Portugal,Portugal,5,7,4,3,58.4,62,17,30,39,19,86.4,2,0.29839181286549704,0.5098691344960001,0.5385279534773504,Possession Attacking,12.4,3.4,1.4,6.0,7.8,18.4,8.8,2.0
Mexico,Mexico,5,10,7,3,52.2,70,21,36,32,8,72.7,4,0.42777777777777776,0.5517178061954181,0.5371631582473679,Balanced / Low Intensity,14.0,4.2,2.0,7.2,6.4,17.2,11.6,1.0
Belgium,Belgium,6,13,10,7,51.2,112,34,50,47,16,69.6,1,0.6045321637426901,0.40612731359000015,0.5358653728515655,Balanced,18.666666666666668,5.666666666666667,2.1666666666666665,8.333333333333334,7.833333333333333,19.0,13.0,1.3333333333333333
Germany,Germany,4,11,10,5,65.0,74,28,25,53,5,50.0,0,0.5229532163742691,0.40810627452418496,0.513988504321346,Possession Attacking,18.5,7.0,2.75,6.25,13.25,26.25,12.75,1.0
Netherlands,Netherlands,4,10,10,5,53.3,46,22,36,27,16,76.2,0,0.46637426900584794,0.3706718251494371,0.500965874689887,Balanced,11.5,5.5,2.5,9.0,6.75,18.5,11.0,2.0
Egypt,Egypt,5,8,8,5,51.4,67,18,44,54,12,63.2,0,0.3730994152046784,0.4675253951373355,0.46051301901915387,Balanced,13.4,3.6,1.6,8.8,10.8,16.4,11.8,0.8
Norway,Norway,6,12,10,11,52.2,66,29,44,67,20,64.5,0,0.5532163742690058,0.2572059848179251,0.45663336287050843,Balanced / Low Intensity,11.0,4.833333333333333,2.0,7.333333333333333,11.166666666666666,13.0,9.666666666666666,0.8333333333333334
Côte d'Ivoire,Côte d'Ivoire,4,5,4,4,49.8,45,14,40,48,9,69.2,2,0.23260233918128653,0.5231351141798902,0.439815873827927,Balanced / Low Intensity,11.25,3.5,1.25,10.0,12.0,15.25,7.25,1.0
Ecuador,Ecuador,4,2,2,4,55.8,53,20,38,49,9,69.2,1,0.1669590643274854,0.4984390962002902,0.4329905097659887,Possession Attacking,13.25,5.0,0.5,9.5,12.25,20.75,12.25,0.5
Canada,Canada,5,8,3,6,54.4,80,31,36,51,6,50.0,2,0.38596491228070173,0.43748474196235393,0.43252340859939453,Balanced / Low Intensity,16.0,6.2,1.6,7.2,10.2,29.2,14.4,1.4
Korea Republic,Korea Republic,3,2,2,3,63.0,32,11,20,23,9,75.0,0,0.1195906432748538,0.3939180021269573,0.4246854122542702,Balanced / Low Intensity,10.666666666666666,3.6666666666666665,0.6666666666666666,6.666666666666667,7.666666666666667,18.0,8.333333333333334,2.6666666666666665
United States,United States,5,9,4,8,56.8,59,19,60,42,8,50.0,2,0.35891812865497075,0.4029840268646239,0.42089913941808405,Possession Attacking,11.8,3.8,1.8,12.0,8.4,14.8,11.2,2.2
Türkiye,Turkey,3,3,3,5,66.3,71,16,18,39,8,61.5,0,0.1820175438596491,0.34937291429828743,0.4094241603552778,Possession Attacking,23.666666666666668,5.333333333333333,1.0,6.0,13.0,26.333333333333332,10.333333333333334,2.3333333333333335
Japan,Japan,4,8,7,5,46.3,34,13,19,32,12,70.6,1,0.33567251461988307,0.3548676414348056,0.4061798431866341,Balanced / Low Intensity,8.5,3.25,2.0,4.75,8.0,14.25,13.75,1.0
Senegal,Senegal,4,10,9,9,55.3,69,23,31,29,12,57.1,1,0.4605263157894737,0.21894406521272194,0.40433925456288966,Possession Attacking,17.25,5.75,2.5,7.75,7.25,19.75,9.0,2.5
Cabo Verde,Cape Verde,4,4,2,4,37.3,49,12,52,45,18,78.3,2,0.17485380116959065,0.5508479015941702,0.40134838522351457,Defensive / Counter,12.25,3.0,1.0,13.0,11.25,12.5,6.75,1.75
Australia,Australia,4,2,1,2,41.0,42,12,29,34,14,82.4,2,0.11374269005847953,0.5342796372647118,0.4001269433509958,Balanced / Low Intensity,10.5,3.0,0.5,7.25,8.5,17.5,11.5,0.25
South Africa,South Africa,4,2,1,4,48.0,39,11,47,38,11,73.3,1,0.10847953216374269,0.49557503811235154,0.38996593155255577,Balanced / Low Intensity,9.75,2.75,0.5,11.75,9.5,10.25,9.5,2.0
Paraguay,Paraguay,5,3,3,5,30.0,35,8,53,88,23,79.3,2,0.13991228070175438,0.6291401015281612,0.3889600004471371,Defensive / Counter,7.0,1.6,0.6,10.6,17.6,8.6,13.2,1.0
IR Iran,Iran,3,3,1,3,39.0,37,11,32,36,15,83.3,1,0.13347953216374267,0.486302604213052,0.3843221637098395,Defensive / Counter,12.333333333333334,3.6666666666666665,1.0,10.666666666666666,12.0,12.333333333333334,11.666666666666666,3.0
Ghana,Ghana,4,2,1,3,36.3,24,4,31,40,16,84.2,2,0.07163742690058479,0.5155569118255685,0.36410315973872664,Balanced / Low Intensity,6.0,1.0,0.5,7.75,10.0,12.0,14.0,2.0
Croatia,Croatia,4,6,5,7,49.8,37,17,25,32,10,58.8,1,0.2845029239766082,0.2909599073778178,0.3496364227922309,Balanced / Low Intensity,9.25,4.25,1.5,6.25,8.0,16.75,11.25,2.0
Congo DR,Congo DR,4,5,3,5,40.0,41,9,22,41,14,73.7,0,0.19517543859649122,0.36671861821115553,0.34319356726559647,Balanced / Low Intensity,10.25,2.25,1.25,5.5,10.25,14.25,11.0,2.25
Uruguay,Uruguay,3,3,1,4,55.0,49,13,32,25,4,50.0,0,0.14400584795321636,0.39423521214565993,0.335179739491907,Possession Attacking,16.333333333333332,4.333333333333333,1.0,10.666666666666666,8.333333333333334,30.666666666666668,10.333333333333334,4.666666666666667
Algeria,Algeria,4,5,3,9,61.0,44,15,30,44,8,47.1,0,0.22675438596491226,0.23507095969782538,0.3256755445356772,Balanced / Low Intensity,11.0,3.75,1.25,7.5,11.0,10.0,7.25,1.0
Saudi Arabia,Saudi Arabia,3,1,0,4,38.3,17,7,29,36,16,76.2,1,0.05131578947368421,0.436438289423364,0.3167301982751239,Defensive / Counter,5.666666666666667,2.3333333333333335,0.3333333333333333,9.666666666666666,12.0,7.333333333333333,9.666666666666666,1.0
Sweden,Sweden,4,7,6,10,46.3,48,23,31,30,14,58.3,0,0.35219298245614034,0.1593091055777623,0.311485269379359,Direct Attacking,12.0,5.75,1.75,7.75,7.5,14.75,10.75,2.25
Scotland,Scotland,3,1,0,4,44.3,29,7,17,25,8,66.7,1,0.05131578947368421,0.37088766417124625,0.29384128453330144,Balanced / Low Intensity,9.666666666666666,2.3333333333333335,0.3333333333333333,5.666666666666667,8.333333333333334,16.666666666666668,14.0,0.6666666666666666
Austria,Austria,4,5,4,9,45.0,32,8,41,29,13,59.1,0,0.2010233918128655,0.22736624005280723,0.2791073422273656,Balanced / Low Intensity,8.0,2.0,1.25,10.25,7.25,14.75,11.75,2.75
Panama,Panama,3,0,0,4,45.7,32,7,15,27,7,63.6,0,0.02631578947368421,0.3488943488943489,0.27510583148666284,Balanced / Low Intensity,10.666666666666666,2.3333333333333335,0.0,5.0,9.0,19.666666666666668,15.333333333333334,2.0
Bosnia–Herz,Bosnia and Herzegovina,4,4,3,8,46.0,37,14,34,37,6,42.9,0,0.19649122807017544,0.2690014301954601,0.2540381328723113,Balanced / Low Intensity,9.25,3.5,1.0,8.5,9.25,14.25,15.0,0.5
Czechia,Czech Republic,3,2,2,6,42.7,34,8,19,19,9,60.0,0,0.10380116959064328,0.2573948439620081,0.2484291935864032,Direct Attacking,11.333333333333334,2.6666666666666665,0.6666666666666666,6.333333333333333,6.333333333333333,19.0,12.333333333333334,1.6666666666666667
New Zealand,New Zealand,3,4,3,10,47.0,31,15,24,21,11,52.4,0,0.20175438596491227,0.11408925886537825,0.23053279290823253,Balanced / Low Intensity,10.333333333333334,5.0,1.3333333333333333,8.0,7.0,14.666666666666666,10.666666666666666,1.3333333333333333
Haiti,Haiti,3,1,1,8,42.7,31,7,29,28,11,57.9,0,0.062426900584795324,0.22975173273680735,0.21880436050553612,Defensive / Counter,10.333333333333334,2.3333333333333335,0.3333333333333333,9.666666666666666,9.333333333333334,12.333333333333334,18.333333333333332,2.3333333333333335
Curaçao,Curaçao,3,1,0,9,32.3,29,7,39,26,20,69.0,1,0.05131578947368421,0.2347165541195392,0.20258420248903314,Defensive / Counter,9.666666666666666,2.3333333333333335,0.3333333333333333,13.0,8.666666666666666,7.666666666666667,10.666666666666666,1.6666666666666667
Jordan,Jordan,3,3,3,7,30.7,24,9,33,31,8,50.0,0,0.1451754385964912,0.2907092302614691,0.19894177941709051,Defensive / Counter,8.0,3.0,1.0,11.0,10.333333333333334,9.0,10.333333333333334,1.0
Qatar,Qatar,3,2,2,8,33.0,18,7,25,24,12,54.5,0,0.09853801169590644,0.20700062341853387,0.17454354983826345,Defensive / Counter,6.0,2.3333333333333335,0.6666666666666666,8.333333333333334,8.0,9.333333333333334,12.0,1.3333333333333333
Uzbekistan,Uzbekistan,3,2,1,10,38.3,18,5,33,39,6,35.3,0,0.07690058479532164,0.18960357915581794,0.1327823113773892,Defensive / Counter,6.0,1.6666666666666667,0.6666666666666666,11.0,13.0,12.333333333333334,15.0,1.0
Iraq,Iraq,3,1,1,11,38.3,21,2,23,35,11,47.8,0,0.036111111111111115,0.10803293116725954,0.1225083521252534,Balanced / Low Intensity,7.0,0.6666666666666666,0.3333333333333333,7.666666666666667,11.666666666666666,9.333333333333334,9.0,0.3333333333333333
Tunisia,Tunisia,3,2,2,11,39.3,18,6,27,36,6,33.3,0,0.0932748538011696,0.12267593237742494,0.11401252722862376,Defensive / Counter,6.0,2.0,0.6666666666666666,9.0,12.0,12.0,9.0,3.0
