player,team,minutes,goals,assists,shots,goals_per90_calc,assists_per90_calc,attacking_output
Kylian Mbappé,France,695.0,10.0,4.0,41.0,1.2949640287769786,0.5179856115107914,1.5215827338129497
Erling Haaland,Norway,465.0,7.0,0.0,20.0,1.3548387096774195,0.0,1.306451612903226
Lionel Messi,Argentina,740.0,8.0,4.0,35.0,0.972972972972973,0.4864864864864865,1.1554054054054055
Vinicius Júnior,Brazil,440.0,4.0,1.0,17.0,0.8181818181818181,0.20454545454545453,1.0227272727272727
Romelu Lukaku,Belgium,233.0,3.0,1.0,6.0,1.1587982832618027,0.38626609442060084,0.9656652360515021
Cyle Larin,Canada,190.0,2.0,0.0,9.0,0.9473684210526315,0.0,0.9473684210526315
Raúl Jiménez,Mexico,317.0,3.0,0.0,18.0,0.8517350157728707,0.0,0.9227129337539433
Brian Brobbey,Netherlands,223.0,3.0,0.0,4.0,1.2107623318385652,0.0,0.9080717488789238
Harry Kane,England,652.0,6.0,1.0,23.0,0.8282208588957056,0.13803680981595093,0.8627300613496933
Mikel Oyarzabal,Spain,601.0,5.0,1.0,23.0,0.7487520798668885,0.1497504159733777,0.8610648918469218
Matheus Cunha,Brazil,290.0,3.0,0.0,11.0,0.9310344827586207,0.0,0.853448275862069
Kai Havertz,Germany,353.0,3.0,0.0,12.0,0.764872521246459,0.0,0.8286118980169972
Lautaro Martínez,Argentina,310.0,3.0,1.0,10.0,0.8709677419354839,0.2903225806451613,0.7983870967741935
Cody Gakpo,Netherlands,368.0,3.0,1.0,10.0,0.733695652173913,0.24456521739130435,0.794836956521739
Folarin Balogun,United States,312.0,3.0,0.0,14.0,0.8653846153846154,0.0,0.7932692307692307
Nicolas Pépé,Côte d'Ivoire,234.0,2.0,1.0,6.0,0.7692307692307693,0.38461538461538464,0.7692307692307692
Cristiano Ronaldo,Portugal,440.0,3.0,0.0,18.0,0.6136363636363636,0.0,0.7670454545454546
Jonathan David,Canada,420.0,3.0,0.0,18.0,0.6428571428571428,0.0,0.75
Crysencio Summerville,Netherlands,253.0,2.0,2.0,2.0,0.7114624505928854,0.7114624505928854,0.7114624505928854
Alexander Isak,Sweden,357.0,1.0,3.0,8.0,0.25210084033613445,0.7563025210084033,0.6932773109243697
Ayase Ueda,Japan,321.0,2.0,1.0,9.0,0.5607476635514018,0.2803738317757009,0.6308411214953271
Musa Al-Taamari,Jordan,215.0,1.0,1.0,8.0,0.41860465116279066,0.41860465116279066,0.627906976744186
Viktor Gyökeres,Sweden,360.0,1.0,2.0,12.0,0.25,0.5,0.625
Andreas Schjelderup,Norway,252.0,1.0,3.0,3.0,0.3571428571428571,1.0714285714285714,0.625
Yoane Wissa,Congo DR,360.0,3.0,0.0,11.0,0.75,0.0,0.5625
Ferran Torres,Spain,288.0,1.0,1.0,14.0,0.3125,0.3125,0.546875
Ismael Saibari,Morocco,381.0,3.0,0.0,10.0,0.7086614173228346,0.0,0.5314960629921259
Breel Embolo,Switzerland,501.0,2.0,2.0,10.0,0.35928143712574845,0.35928143712574845,0.49401197604790414
Wilson Isidor,Haiti,186.0,1.0,0.0,5.0,0.4838709677419355,0.0,0.4838709677419355
Enner Valencia,Ecuador,287.0,0.0,0.0,10.0,0.0,0.0,0.47038327526132406
Gonzalo Plata,Ecuador,360.0,1.0,0.0,8.0,0.25,0.0,0.4375
Nicolas Jackson,Senegal,234.0,0.0,1.0,7.0,0.0,0.38461538461538464,0.3846153846153846
Amine Gouiri,Algeria,251.0,1.0,0.0,3.0,0.35856573705179284,0.0,0.35856573705179284
Federico Viñas,Uruguay,192.0,0.0,0.0,6.0,0.0,0.0,0.3515625
Tani Oluwaseyi,Canada,259.0,0.0,0.0,8.0,0.0,0.0,0.3474903474903475
Eldor Shomurodov,Uzbekistan,269.0,1.0,0.0,4.0,0.33457249070631967,0.0,0.33457249070631967
Chris Wood,New Zealand,270.0,0.0,2.0,5.0,0.0,0.6666666666666667,0.33333333333333337
Evidence Makgopa,South Africa,215.0,0.0,0.0,4.0,0.0,0.0,0.313953488372093
Agustín Canobbio,Uruguay,224.0,1.0,0.0,4.0,0.40178571428571425,0.0,0.3013392857142857
Julio Enciso,Paraguay,386.0,1.0,2.0,8.0,0.23316062176165803,0.46632124352331605,0.2914507772020725
Antonio Nusa,Norway,318.0,1.0,0.0,6.0,0.2830188679245283,0.0,0.2830188679245283
Julián Álvarez,Argentina,602.0,1.0,0.0,11.0,0.14950166112956811,0.0,0.2616279069767442
Ermedin Demirović,Bosnia–Herz,354.0,0.0,0.0,4.0,0.0,0.0,0.2542372881355932
Donyell Malen,Netherlands,185.0,0.0,0.0,4.0,0.0,0.0,0.24324324324324326
Oscar Bobb,Norway,225.0,0.0,0.0,4.0,0.0,0.0,0.2
Mehdi Taremi,IR Iran,259.0,0.0,0.0,5.0,0.0,0.0,0.17374517374517376
Lee Kang-in,Korea Republic,270.0,0.0,1.0,4.0,0.0,0.33333333333333337,0.16666666666666669
Patrik Schick,Czechia,180.0,0.0,0.0,2.0,0.0,0.0,0.125
Michael Gregoritsch,Austria,188.0,0.0,1.0,1.0,0.0,0.4787234042553191,0.11968085106382978
Ange-Yoan Bonny,Côte d'Ivoire,234.0,0.0,0.0,1.0,0.0,0.0,0.09615384615384616
Luis Suárez,Colombia,331.0,0.0,1.0,9.0,0.0,0.2719033232628399,0.06797583081570997
Giuliano Simeone,Argentina,192.0,0.0,0.0,1.0,0.0,0.0,0.0
Jordan Ayew,Ghana,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Cédric Bakambu,Congo DR,190.0,0.0,0.0,3.0,0.0,0.0,0.0
Jürgen Locadia,Curaçao,235.0,0.0,0.0,1.0,0.0,0.0,0.0
Pavel Šulc,Czechia,189.0,0.0,0.0,2.0,0.0,0.0,0.0
Alexander Sørloth,Norway,337.0,0.0,0.0,5.0,0.0,0.0,0.0
Ali Al Hamadi,Iraq,180.0,0.0,0.0,6.0,0.0,0.0,0.0
Firas Al-Buraikan,Saudi Arabia,238.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Pepi,United States,204.0,0.0,0.0,5.0,0.0,0.0,0.0
