player,team,minutes,gk_saves,gk_save_pct,gk_clean_sheets,gk_clean_sheets_pct,goalkeeper_output
Unai Simón,Spain,750.0,9.0,90.9,7.0,87.5,89.53999999999999
Benjamin Asare,Ghana,225.0,8.0,80.0,2.0,100.0,88.0
Camilo Vargas,Colombia,480.0,6.0,85.7,4.0,80.0,83.42
Raúl Rangel,Mexico,437.0,8.0,72.7,4.0,80.0,75.62
Patrick Beach,Australia,388.0,14.0,82.4,2.0,50.0,69.44
Diogo Costa,Portugal,450.0,19.0,86.4,2.0,40.0,67.84
Vozinha,Cabo Verde,390.0,18.0,78.3,2.0,50.0,66.97999999999999
Orlando Gill,Paraguay,480.0,23.0,79.3,2.0,40.0,63.58
Alireza Beiranvand,IR Iran,270.0,15.0,83.3,1.0,33.3,63.3
Alisson,Brazil,450.0,14.0,77.8,2.0,40.0,62.68
Yahia Fofana,Côte d'Ivoire,360.0,9.0,69.2,2.0,50.0,61.52
Gregor Kobel,Switzerland,600.0,20.0,76.9,2.0,33.3,59.46
Mohammed Al-Owais,Saudi Arabia,270.0,16.0,76.2,1.0,33.3,59.04
Matt Freese,United States,360.0,8.0,61.5,2.0,50.0,56.9
Yassine Bounou,Morocco,570.0,14.0,70.0,2.0,33.3,55.32
Eloy Room,Curaçao,270.0,20.0,69.0,1.0,33.3,54.72
Mory Diaw,Senegal,238.0,4.0,57.1,1.0,50.0,54.26
Ronwen Williams,South Africa,360.0,11.0,73.3,1.0,25.0,53.98
Angus Gunn,Scotland,270.0,8.0,66.7,1.0,33.3,53.34
Emiliano Martínez,Argentina,810.0,20.0,71.4,2.0,25.0,52.84
Mike Maignan,France,720.0,12.0,54.5,4.0,50.0,52.699999999999996
Zion Suzuki,Japan,360.0,12.0,70.6,1.0,25.0,52.35999999999999
Hernán Galíndez,Ecuador,360.0,9.0,69.2,1.0,25.0,51.52
Jordan Pickford,England,660.0,15.0,65.2,2.0,28.6,50.56
Thibaut Courtois,Belgium,550.0,14.0,70.0,1.0,16.7,48.68
Maxime Crépeau,Canada,450.0,6.0,50.0,2.0,40.0,46.0
Bart Verbruggen,Netherlands,390.0,16.0,76.2,0.0,0.0,45.72
Dominik Livaković,Croatia,360.0,10.0,58.8,1.0,25.0,45.279999999999994
Kim Seung-gyu,Korea Republic,270.0,9.0,75.0,0.0,0.0,45.0
Lionel Mpasi,Congo DR,360.0,14.0,73.7,0.0,0.0,44.22
Jacob Widell Zetterström,Sweden,180.0,11.0,73.3,0.0,0.0,43.98
Ørjan Nyland,Norway,480.0,15.0,68.2,0.0,0.0,40.92
Orlando Mosquera,Panama,270.0,7.0,63.6,0.0,0.0,38.16
Mostafa Shobeir,Egypt,480.0,12.0,63.2,0.0,0.0,37.92
Uğurcan Çakır,Türkiye,270.0,8.0,61.5,0.0,0.0,36.9
Matej Kovar,Czechia,270.0,9.0,60.0,0.0,0.0,36.0
Alexander Schlager,Austria,360.0,13.0,59.1,0.0,0.0,35.46
Johny Placide,Haiti,270.0,11.0,57.9,0.0,0.0,34.739999999999995
Luca Zidane,Algeria,270.0,8.0,57.1,0.0,0.0,34.26
Mahmoud Abunada,Qatar,270.0,12.0,54.5,0.0,0.0,32.699999999999996
Max Crocombe,New Zealand,270.0,11.0,52.4,0.0,0.0,31.439999999999998
Fernando Muslera,Uruguay,225.0,4.0,50.0,0.0,0.0,30.0
Yazeed Abulaila,Jordan,270.0,8.0,50.0,0.0,0.0,30.0
Manuel Neuer,Germany,390.0,5.0,50.0,0.0,0.0,30.0
Nikola Vasilj,Bosnia–Herz,360.0,6.0,42.9,0.0,0.0,25.74
Aymen Dahmen,Tunisia,180.0,5.0,41.7,0.0,0.0,25.02
Abduvohid Nematov,Uzbekistan,180.0,5.0,38.5,0.0,0.0,23.099999999999998
Kristoffer Nordfeldt,Sweden,180.0,3.0,33.3,0.0,0.0,19.979999999999997
