player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,fouls_per90_calc,crosses_per90_calc,goal_contribution_per90,primary_position,player_cluster
Amine Gouiri,Algeria,Algeria,FW,26,2000,Marseille,4,3,251.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,3.0,2.0,66.7,1.08,0.72,0.33,0.5,63.0,69.7,73.0,0,1,33.0,0,1.0,4.0,5.0,-1.0,-0.36,2.12,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35856573705179284,0.0,1.0756972111553784,0.7171314741035857,0.0,0.35856573705179284,0.35856573705179284,0.35856573705179284,0.35856573705179284,FW,2
Aïssa Mandi,Algeria,Algeria,DF,34,1991,Lille,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,4,0,0.0,0,1.0,5.0,9.0,-4.0,-1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,DF,2
Fares Chaïbi,Algeria,Algeria,MF,23,2002,Frankfurt,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,33.3,2.25,0.75,0.0,0.0,90.0,100.0,90.0,4,0,0.0,0,1.0,5.0,9.0,-4.0,-1.0,0.0,0.0,3.0,2.0,1.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.75,0.75,1.25,0.75,1.5,0.0,MF,2
Ibrahim Maza,Algeria,Algeria,"MF,FW",20,2005,Leverkusen,4,4,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,27.3,2.82,0.77,0.0,0.0,88.0,97.5,88.0,3,0,0.0,0,1.0,5.0,9.0,-4.0,-1.03,-1.03,0.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8205128205128207,0.7692307692307693,0.0,0.5128205128205129,0.25641025641025644,0.25641025641025644,0.0,MF,2
Nabil Bentaleb,Algeria,Algeria,MF,31,1994,Lille,4,3,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.0,0.0,0.0,71.0,79.2,80.0,1,1,45.0,0,1.0,5.0,8.0,-3.0,-0.95,0.25,0.0,2.0,3.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.9473684210526315,1.263157894736842,0.631578947368421,0.9473684210526315,0.0,MF,0
Rafik Belghali,Algeria,Algeria,DF,24,2002,Hellas Verona,4,4,331.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,3.0,1.0,33.3,0.82,0.27,0.33,1.0,83.0,91.9,83.0,2,0,0.0,0,1.0,4.0,8.0,-4.0,-1.09,-1.09,0.0,4.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2719033232628399,0.0,0.8157099697885197,0.2719033232628399,0.2719033232628399,0.8157099697885197,1.0876132930513596,1.0876132930513596,0.2719033232628399,DF,2
Ramy Bensebaini,Algeria,Algeria,DF,31,1995,Dortmund,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,90.0,100.0,90.0,4,0,0.0,0,1.0,5.0,9.0,-4.0,-1.0,0.0,0.0,1.0,5.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.75,1.5,0.25,0.0,0.0,DF,0
Rayan Aït-Nouri,Algeria,Algeria,DF,25,2001,Manchester City,4,3,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.0,0.0,0.0,71.0,78.9,88.0,2,1,20.0,0,1.0,3.0,7.0,-4.0,-1.27,-1.27,0.0,6.0,4.0,0.0,8.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31690140845070425,0.0,1.5845070422535212,4.119718309859155,1.9014084507042253,2.535211267605634,0.0,DF,0
Riyad Mahrez,Algeria,Algeria,MF,35,1991,Al-Ahli,4,3,262.0,2.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.69,0.34,1.03,0.69,1.03,6.0,3.0,50.0,2.06,1.03,0.33,0.67,66.0,72.8,78.0,1,1,27.0,0,1.0,4.0,7.0,-3.0,-1.03,-0.11,0.0,1.0,7.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6870229007633587,0.34351145038167935,2.0610687022900764,1.0305343511450382,0.34351145038167935,0.6870229007633587,0.34351145038167935,3.435114503816794,1.030534351145038,MF,1
Alexis Mac Allister,Argentina,Argentina,MF,27,1998,Liverpool,8,7,750.0,8.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.12,0.12,0.24,0.12,0.24,13.0,4.0,30.8,1.56,0.48,0.08,0.25,94.0,92.6,103.0,7,1,30.0,0,2.63,17.0,7.0,10.0,1.2,-0.3,0.0,9.0,12.0,0.0,2.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,1.5599999999999998,0.48,1.08,1.44,1.08,0.24,0.24,MF,0
