player,team,primary_position,minutes,goals,assists,player_rating_100
Unai Simón,Spain,GK,750.0,0.0,0.0,95.0
Benjamin Asare,Ghana,GK,225.0,0.0,0.0,92.8052805280528
Camilo Vargas,Colombia,GK,480.0,0.0,0.0,88.56765676567657
Kylian Mbappé,France,FW,695.0,10.0,4.0,85.26378896882495
Raúl Rangel,Mexico,GK,437.0,0.0,0.0,79.98679867986799
Patrick Beach,Australia,GK,388.0,0.0,0.0,74.38943894389438
Diogo Costa,Portugal,GK,450.0,0.0,0.0,73.02970297029702
Vozinha,Cabo Verde,GK,390.0,0.0,0.0,71.68316831683168
Erling Haaland,Norway,FW,465.0,7.0,0.0,69.51020726196042
Orlando Gill,Paraguay,GK,480.0,0.0,0.0,68.34323432343233
Alireza Beiranvand,IR Iran,GK,270.0,0.0,0.0,68.30349834983498
Alisson,Brazil,GK,450.0,0.0,0.0,67.35313531353134
Lionel Messi,Argentina,FW,740.0,8.0,4.0,65.76165295730515
Yahia Fofana,Côte d'Ivoire,GK,360.0,0.0,0.0,65.67656765676568
Gregor Kobel,Switzerland,GK,600.0,0.0,0.0,64.07907590759075
Mohammed Al-Owais,Saudi Arabia,GK,270.0,0.0,0.0,63.617029702970285
Matt Freese,United States,GK,360.0,0.0,0.0,60.59405940594059
Yassine Bounou,Morocco,GK,570.0,0.0,0.0,59.524620462046194
Eloy Room,Curaçao,GK,270.0,0.0,0.0,58.86455445544554
Ronwen Williams,South Africa,GK,360.0,0.0,0.0,58.38283828382838
Mory Diaw,Senegal,GK,238.0,0.0,0.0,57.689768976897696
Angus Gunn,Scotland,GK,270.0,0.0,0.0,57.346402640264024
Emiliano Martínez,Argentina,GK,810.0,0.0,0.0,57.128712871287135
Romelu Lukaku,Belgium,FW,233.0,3.0,1.0,56.7932450083971
Zion Suzuki,Japan,GK,360.0,0.0,0.0,56.60066006600659
Mike Maignan,France,GK,720.0,0.0,0.0,55.97359735973597
Hernán Galíndez,Ecuador,GK,360.0,0.0,0.0,55.67656765676568
Vinicius Júnior,Brazil,FW,440.0,4.0,1.0,55.334156785243735
Jordan Pickford,England,GK,660.0,0.0,0.0,54.476303630363034
Thibaut Courtois,Belgium,GK,550.0,0.0,0.0,52.88462046204619
Nathan Saliba,Canada,MF,182.0,1.0,2.0,51.05295484894148
Bart Verbruggen,Netherlands,GK,390.0,0.0,0.0,50.297029702970285
Cyle Larin,Canada,FW,190.0,2.0,0.0,50.195270785659794
Brian Brobbey,Netherlands,FW,223.0,3.0,0.0,49.922986937024774
Kim Seung-gyu,Korea Republic,GK,270.0,0.0,0.0,49.504950495049506
Marvin Senaya,Ghana,DF,278.0,0.0,0.0,49.00563465311667
Maxime Crépeau,Canada,GK,450.0,0.0,0.0,49.003300330033
Dominik Livaković,Croatia,GK,360.0,0.0,0.0,48.81188118811881
Lionel Mpasi,Congo DR,GK,360.0,0.0,0.0,48.646864686468646
Raúl Jiménez,Mexico,FW,317.0,3.0,0.0,48.46454532985874
Jacob Widell Zetterström,Sweden,GK,180.0,0.0,0.0,48.38283828382838
Rayan Aït-Nouri,Algeria,DF,284.0,0.0,0.0,48.052176696542894
Harry Kane,England,FW,652.0,6.0,1.0,47.10322752734063
Mikel Oyarzabal,Spain,FW,601.0,5.0,1.0,46.6854758976585
Lautaro Martínez,Argentina,FW,310.0,3.0,1.0,46.09817671809257
Crysencio Summerville,Netherlands,FW,253.0,2.0,2.0,45.936300624391365
Matheus Cunha,Brazil,FW,290.0,3.0,0.0,45.68290854572714
