player,team,position,metric
Kylian Mbappé,France,FW,1.5215827338129497
Erling Haaland,Norway,FW,1.306451612903226
Lionel Messi,Argentina,FW,1.1554054054054055
Vinicius Júnior,Brazil,FW,1.0227272727272727
Romelu Lukaku,Belgium,FW,0.9656652360515021
Nathan Saliba,Canada,MF,1.4340659340659343
Livano Comenencia,Curaçao,MF,1.4291845493562232
Aurélien Tchouaméni,France,MF,1.375
Felix Nmecha,Germany,MF,1.3166666666666669
Amad Diallo,Côte d'Ivoire,MF,1.3135135135135134
Marvin Senaya,Ghana,DF,2.039568345323741
Rayan Aït-Nouri,Algeria,DF,1.9964788732394365
Merchas Doski,Iraq,DF,1.7499999999999998
Khuliso Mudau,South Africa,DF,1.6624999999999999
Mohamed Amine Ben Hamida,Tunisia,DF,1.5594059405940592
Unai Simón,Spain,GK,89.53999999999999
Benjamin Asare,Ghana,GK,88.0
Camilo Vargas,Colombia,GK,83.42
Raúl Rangel,Mexico,GK,75.62
Patrick Beach,Australia,GK,69.44
