team,goals,assists,shots_on_target,attack_rating
France,20,18,59,1.0
England,20,14,53,0.9239766081871345
Argentina,18,12,44,0.8043859649122806
Spain,13,10,54,0.7097953216374269
Belgium,13,10,34,0.6045321637426901
Norway,12,10,29,0.5532163742690058
Germany,11,10,28,0.5229532163742691
Brazil,10,8,30,0.4862573099415205
Morocco,10,9,26,0.47631578947368414
Netherlands,10,10,22,0.46637426900584794
Switzerland,10,6,30,0.46403508771929824
Senegal,10,9,23,0.4605263157894737
Mexico,10,7,21,0.42777777777777776
Canada,8,3,31,0.38596491228070173
Egypt,8,8,18,0.3730994152046784
United States,9,4,19,0.35891812865497075
Sweden,7,6,23,0.35219298245614034
Japan,8,7,13,0.33567251461988307
Colombia,5,5,30,0.3279239766081872
Portugal,7,4,17,0.29839181286549704
Croatia,6,5,17,0.2845029239766082
Côte d'Ivoire,5,4,14,0.23260233918128653
Algeria,5,3,15,0.22675438596491226
New Zealand,4,3,15,0.20175438596491227
Austria,5,4,8,0.2010233918128655
Bosnia–Herz,4,3,14,0.19649122807017544
Congo DR,5,3,9,0.19517543859649122
Türkiye,3,3,16,0.1820175438596491
Cabo Verde,4,2,12,0.17485380116959065
Ecuador,2,2,20,0.1669590643274854
Jordan,3,3,9,0.1451754385964912
Uruguay,3,1,13,0.14400584795321636
Paraguay,3,3,8,0.13991228070175438
IR Iran,3,1,11,0.13347953216374267
Korea Republic,2,2,11,0.1195906432748538
Australia,2,1,12,0.11374269005847953
South Africa,2,1,11,0.10847953216374269
Czechia,2,2,8,0.10380116959064328
Qatar,2,2,7,0.09853801169590644
Tunisia,2,2,6,0.0932748538011696
Uzbekistan,2,1,5,0.07690058479532164
Ghana,2,1,4,0.07163742690058479
Haiti,1,1,7,0.062426900584795324
Curaçao,1,0,7,0.05131578947368421
Saudi Arabia,1,0,7,0.05131578947368421
Scotland,1,0,7,0.05131578947368421
Iraq,1,1,2,0.036111111111111115
Panama,0,0,7,0.02631578947368421
