team,goals_against,interceptions,tackles_won,gk_clean_sheets,defensive_rating
Spain,1,64,88,7,0.9327551432029044
Colombia,1,38,33,4,0.642208839970034
Paraguay,5,53,88,2,0.6291401015281612
Argentina,8,82,93,2,0.6064935064935065
Mexico,3,36,32,4,0.5517178061954181
Cabo Verde,4,52,45,2,0.5508479015941702
Brazil,4,48,46,2,0.5416103057894103
Australia,2,29,34,2,0.5342796372647118
Côte d'Ivoire,4,40,48,2,0.5231351141798902
Morocco,5,40,61,2,0.5173611584059346
Ghana,3,31,40,2,0.5155569118255685
Portugal,3,30,39,2,0.5098691344960001
Ecuador,4,38,49,1,0.4984390962002902
South Africa,4,47,38,1,0.49557503811235154
Switzerland,6,52,52,2,0.4879486386949074
IR Iran,3,32,36,1,0.486302604213052
France,10,65,77,4,0.47354295563250787
Egypt,5,44,54,0,0.4675253951373355
Canada,6,36,51,2,0.43748474196235393
Saudi Arabia,4,29,36,1,0.436438289423364
Germany,5,25,53,0,0.40810627452418496
Belgium,7,50,47,1,0.40612731359000015
United States,8,60,42,2,0.4029840268646239
Uruguay,4,32,25,0,0.39423521214565993
Korea Republic,3,20,23,0,0.3939180021269573
Scotland,4,17,25,1,0.37088766417124625
Netherlands,5,36,27,0,0.3706718251494371
Congo DR,5,22,41,0,0.36671861821115553
Japan,5,19,32,1,0.3548676414348056
Türkiye,5,18,39,0,0.34937291429828743
Panama,4,15,27,0,0.3488943488943489
England,12,51,77,2,0.3070765861810638
Croatia,7,25,32,1,0.2909599073778178
Jordan,7,33,31,0,0.2907092302614691
Bosnia–Herz,8,34,37,0,0.2690014301954601
Czechia,6,19,19,0,0.2573948439620081
Norway,11,44,67,0,0.2572059848179251
Algeria,9,30,44,0,0.23507095969782538
Curaçao,9,39,26,1,0.2347165541195392
Haiti,8,29,28,0,0.22975173273680735
Austria,9,41,29,0,0.22736624005280723
Senegal,9,31,29,1,0.21894406521272194
Qatar,8,25,24,0,0.20700062341853387
Uzbekistan,10,33,39,0,0.18960357915581794
Sweden,10,31,30,0,0.1593091055777623
Tunisia,11,27,36,0,0.12267593237742494
New Zealand,10,24,21,0,0.11408925886537825
Iraq,11,23,35,0,0.10803293116725954
