team,goals,goals_against,possession,attack_rating,defensive_rating,overall_team_strength
Spain,13,1,64.1,0.7097953216374269,0.9327551432029044,0.8658017536032068
Argentina,18,8,57.6,0.8043859649122806,0.6064935064935065,0.707076151768885
France,20,10,55.9,1.0,0.47354295563250787,0.6779731611931408
England,20,12,54.1,0.9239766081871345,0.3070765861810638,0.6064970615550402
Colombia,5,1,57.8,0.3279239766081872,0.642208839970034,0.5908808521935619
Brazil,10,4,53.0,0.4862573099415205,0.5416103057894103,0.570680404486542
Morocco,10,5,59.0,0.47631578947368414,0.5173611584059346,0.5631945591683348
Switzerland,10,6,54.0,0.46403508771929824,0.4879486386949074,0.5459095246306469
Portugal,7,3,58.4,0.29839181286549704,0.5098691344960001,0.5385279534773504
Mexico,10,3,52.2,0.42777777777777776,0.5517178061954181,0.5371631582473679
Belgium,13,7,51.2,0.6045321637426901,0.40612731359000015,0.5358653728515655
Germany,11,5,65.0,0.5229532163742691,0.40810627452418496,0.513988504321346
Netherlands,10,5,53.3,0.46637426900584794,0.3706718251494371,0.500965874689887
Egypt,8,5,51.4,0.3730994152046784,0.4675253951373355,0.46051301901915387
Norway,12,11,52.2,0.5532163742690058,0.2572059848179251,0.45663336287050843
Côte d'Ivoire,5,4,49.8,0.23260233918128653,0.5231351141798902,0.439815873827927
Ecuador,2,4,55.8,0.1669590643274854,0.4984390962002902,0.4329905097659887
Canada,8,6,54.4,0.38596491228070173,0.43748474196235393,0.43252340859939453
Korea Republic,2,3,63.0,0.1195906432748538,0.3939180021269573,0.4246854122542702
United States,9,8,56.8,0.35891812865497075,0.4029840268646239,0.42089913941808405
Türkiye,3,5,66.3,0.1820175438596491,0.34937291429828743,0.4094241603552778
Japan,8,5,46.3,0.33567251461988307,0.3548676414348056,0.4061798431866341
Senegal,10,9,55.3,0.4605263157894737,0.21894406521272194,0.40433925456288966
Cabo Verde,4,4,37.3,0.17485380116959065,0.5508479015941702,0.40134838522351457
Australia,2,2,41.0,0.11374269005847953,0.5342796372647118,0.4001269433509958
South Africa,2,4,48.0,0.10847953216374269,0.49557503811235154,0.38996593155255577
Paraguay,3,5,30.0,0.13991228070175438,0.6291401015281612,0.3889600004471371
IR Iran,3,3,39.0,0.13347953216374267,0.486302604213052,0.3843221637098395
Ghana,2,3,36.3,0.07163742690058479,0.5155569118255685,0.36410315973872664
Croatia,6,7,49.8,0.2845029239766082,0.2909599073778178,0.3496364227922309
Congo DR,5,5,40.0,0.19517543859649122,0.36671861821115553,0.34319356726559647
Uruguay,3,4,55.0,0.14400584795321636,0.39423521214565993,0.335179739491907
Algeria,5,9,61.0,0.22675438596491226,0.23507095969782538,0.3256755445356772
Saudi Arabia,1,4,38.3,0.05131578947368421,0.436438289423364,0.3167301982751239
Sweden,7,10,46.3,0.35219298245614034,0.1593091055777623,0.311485269379359
Scotland,1,4,44.3,0.05131578947368421,0.37088766417124625,0.29384128453330144
Austria,5,9,45.0,0.2010233918128655,0.22736624005280723,0.2791073422273656
Panama,0,4,45.7,0.02631578947368421,0.3488943488943489,0.27510583148666284
Bosnia–Herz,4,8,46.0,0.19649122807017544,0.2690014301954601,0.2540381328723113
Czechia,2,6,42.7,0.10380116959064328,0.2573948439620081,0.2484291935864032
New Zealand,4,10,47.0,0.20175438596491227,0.11408925886537825,0.23053279290823253
Haiti,1,8,42.7,0.062426900584795324,0.22975173273680735,0.21880436050553612
Curaçao,1,9,32.3,0.05131578947368421,0.2347165541195392,0.20258420248903314
Jordan,3,7,30.7,0.1451754385964912,0.2907092302614691,0.19894177941709051
Qatar,2,8,33.0,0.09853801169590644,0.20700062341853387,0.17454354983826345
Uzbekistan,2,10,38.3,0.07690058479532164,0.18960357915581794,0.1327823113773892
Iraq,1,11,38.3,0.036111111111111115,0.10803293116725954,0.1225083521252534
Tunisia,2,11,39.3,0.0932748538011696,0.12267593237742494,0.11401252722862376
