player,team,primary_position,minutes,goals,assists,goal_contribution_per90
Johan Manzambi,Switzerland,MF,199.0,3.0,2.0,2.2613065326633164
Kylian Mbappé,France,FW,695.0,10.0,4.0,1.81294964028777
Romelu Lukaku,Belgium,FW,233.0,3.0,1.0,1.5450643776824036
Bukayo Saka,England,MF,358.0,3.0,3.0,1.5083798882681565
Nathan Saliba,Canada,MF,182.0,1.0,2.0,1.4835164835164836
Lionel Messi,Argentina,FW,740.0,8.0,4.0,1.4594594594594597
Andreas Schjelderup,Norway,FW,252.0,1.0,3.0,1.4285714285714284
Crysencio Summerville,Netherlands,FW,253.0,2.0,2.0,1.4229249011857708
Erling Haaland,Norway,FW,465.0,7.0,0.0,1.3548387096774195
Ismaila Sarr,Senegal,MF,364.0,4.0,1.0,1.2362637362637363
