player,team,primary_position,minutes,interceptions,tackles_won,defensive_output
Marvin Senaya,Ghana,DF,278.0,6.0,12.0,0.4900563465311667
Rayan Aït-Nouri,Algeria,DF,284.0,5.0,13.0,0.4805217669654289
Merchas Doski,Iraq,DF,270.0,6.0,9.0,0.41961926961926954
Khuliso Mudau,South Africa,DF,360.0,11.0,8.0,0.3964423076923077
Mohamed Amine Ben Hamida,Tunisia,DF,202.0,1.0,9.0,0.3773713909852523
Ali Abdi,Tunisia,DF,269.0,4.0,8.0,0.33763485585046915
Yazan Al-Arab,Jordan,DF,270.0,11.0,1.0,0.33035612535612535
Marcos Llorente,Spain,DF,187.0,1.0,6.0,0.32989603978908794
Dayot Upamecano,France,DF,660.0,15.0,12.0,0.32939677252918353
Stefan Posch,Austria,DF,331.0,10.0,4.0,0.3163775801238037
