player,team,minutes,gk_save_pct,gk_clean_sheets,player_rating_100
Unai Simón,Spain,750.0,90.9,7.0,95.0
Benjamin Asare,Ghana,225.0,80.0,2.0,92.8052805280528
Camilo Vargas,Colombia,480.0,85.7,4.0,88.56765676567657
Raúl Rangel,Mexico,437.0,72.7,4.0,79.98679867986799
Patrick Beach,Australia,388.0,82.4,2.0,74.38943894389438
Diogo Costa,Portugal,450.0,86.4,2.0,73.02970297029702
Vozinha,Cabo Verde,390.0,78.3,2.0,71.68316831683168
Orlando Gill,Paraguay,480.0,79.3,2.0,68.34323432343233
Alireza Beiranvand,IR Iran,270.0,83.3,1.0,68.30349834983498
Alisson,Brazil,450.0,77.8,2.0,67.35313531353134
