player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,fouls_per90_calc,crosses_per90_calc,goal_contribution_per90,primary_position,goal_score,assist_score,shot_score,interception_score,tackle_score,player_rating,player_rating_100
Unai Simón,Spain,Spain,GK,29,1997,Athletic Club,8,8,750.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,100.0,94.0,8,0,0.0,0,2.75,14.0,1.0,13.0,1.56,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,750.0,1.0,0.12,11.0,9.0,90.9,7.0,1.0,0.0,7.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.95,95.0
Benjamin Asare,Ghana,Ghana,GK,33,1992,Unknown Club,3,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,62.5,90.0,2,1,45.0,1,1.33,2.0,2.0,0.0,0.0,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,225.0,2.0,0.8,10.0,8.0,80.0,0.0,1.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.928052805280528,92.8052805280528
Camilo Vargas,Colombia,Colombia,GK,37,1989,Atlas,5,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,100.0,96.0,5,0,0.0,0,2.2,5.0,1.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,480.0,1.0,0.19,7.0,6.0,85.7,3.0,2.0,0.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.8856765676567657,88.56765676567657
Kylian Mbappé,France,France,FW,27,1998,Real Madrid,8,8,695.0,7.7,10.0,4.0,14.0,9.0,1.0,2.0,1.0,0.0,1.29,0.52,1.81,1.17,1.68,41.0,23.0,56.1,5.31,2.98,0.22,0.39,87.0,96.5,87.0,4,0,0.0,0,2.25,19.0,10.0,9.0,1.17,-2.43,0.0,6.0,8.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2949640287769786,0.5179856115107914,5.309352517985611,2.9784172661870505,0.0,0.12949640287769784,0.776978417266187,0.5179856115107914,1.81294964028777,FW,0.9544364508393287,0.48345323741007196,1.0,0.0,0.031433314886552294,0.8526378896882495,85.26378896882495
Raúl Rangel,Mexico,Mexico,GK,26,2000,Guadalajara,5,5,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,97.1,87.0,4,0,0.0,0,2.4,9.0,3.0,6.0,1.24,-5.69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,437.0,3.0,0.62,11.0,8.0,72.7,4.0,0.0,1.0,4.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20594965675057209,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.7998679867986799,79.98679867986799
Patrick Beach,Australia,Australia,GK,22,2003,Melb City,4,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,99.5,97.0,3,0,0.0,0,1.25,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,388.0,3.0,0.7,17.0,14.0,82.4,1.0,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.7438943894389438,74.38943894389438
Erling Haaland,Norway,Norway,FW,25,2000,Manchester City,5,5,465.0,5.2,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.35,0.0,1.35,1.35,1.35,20.0,13.0,65.0,3.87,2.52,0.35,0.54,93.0,81.6,93.0,4,0,0.0,1,2.4,12.0,7.0,5.0,0.97,3.54,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3548387096774195,0.0,3.870967741935484,2.5161290322580645,0.1935483870967742,0.0,0.967741935483871,0.1935483870967742,1.3548387096774195,FW,0.9985663082437278,0.0,0.844787283777466,0.04555229716520039,0.0,0.6951020726196042,69.51020726196042
Lionel Messi,Argentina,Argentina,FW,38,1987,Inter Miami,8,7,740.0,8.2,8.0,4.0,12.0,8.0,0.0,2.0,0.0,0.0,0.97,0.49,1.46,0.97,1.46,35.0,18.0,51.4,4.26,2.19,0.23,0.44,93.0,91.4,101.0,6,1,31.0,0,2.63,17.0,7.0,10.0,1.22,-0.07,0.0,3.0,20.0,5.0,54.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.4864864864864865,4.256756756756757,2.1891891891891895,0.0,1.2162162162162162,0.3648648648648649,6.5675675675675675,1.4594594594594597,FW,0.7171171171171172,0.4540540540540541,0.7350176263219742,0.0,0.29521829521829523,0.6576165295730514,65.76165295730515
Romelu Lukaku,Belgium,Belgium,FW,33,1993,Napoli,6,1,233.0,2.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.16,0.39,1.55,1.16,1.55,6.0,3.0,50.0,2.32,1.16,0.5,1.0,39.0,40.9,72.0,0,5,32.0,0,1.83,6.0,2.0,4.0,1.55,0.74,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1587982832618027,0.38626609442060084,2.3175965665236054,1.1587982832618027,0.0,0.0,0.7725321888412017,0.0,1.5450643776824036,FW,0.8540772532188843,0.3605150214592275,0.38906512409031535,0.0,0.0,0.567932450083971,56.7932450083971
Vinicius Júnior,Brazil,Brazil,FW,25,2000,Real Madrid,5,5,440.0,4.9,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.82,0.2,1.02,0.82,1.02,17.0,11.0,64.7,3.48,2.25,0.24,0.36,88.0,97.8,88.0,4,0,0.0,0,2.0,10.0,4.0,6.0,1.23,1.23,0.0,4.0,10.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818181,0.20454545454545453,3.477272727272727,2.25,0.20454545454545453,0.20454545454545453,0.8181818181818181,2.4545454545454546,1.0227272727272727,FW,0.603030303030303,0.1909090909090909,0.7554347826086956,0.04814049586776859,0.049650349650349646,0.5533415678524374,55.334156785243735
