team,games,goals_against,goal_difference,interceptions,tackles_won,fouls,offsides,cards_yellow,cards_red
Colombia,5,1,4,38,33,70,19,8,0
Spain,8,1,12,64,88,101,21,6,0
Australia,4,2,0,29,34,46,1,5,0
Ghana,4,3,-1,31,40,56,8,6,0
Mexico,5,3,7,36,32,58,5,4,1
Korea Republic,3,3,-1,20,23,25,8,4,0
Portugal,5,3,4,30,39,44,10,7,0
IR Iran,3,3,0,32,36,35,9,6,0
Ecuador,4,4,-2,38,49,49,2,8,1
Côte d'Ivoire,4,4,1,40,48,29,4,4,0
Saudi Arabia,3,4,-3,29,36,29,3,6,0
South Africa,4,4,-2,47,38,38,8,5,2
Panama,3,4,-4,15,27,46,6,5,0
Scotland,3,4,-3,17,25,42,2,5,0
Brazil,5,4,6,48,46,51,11,8,0
Cabo Verde,4,4,0,52,45,27,7,5,0
Uruguay,3,4,-1,32,25,31,14,5,1
Paraguay,5,5,-2,53,88,66,5,9,1
Japan,4,5,3,19,32,55,4,4,0
Morocco,6,5,5,40,61,74,9,7,0
Germany,4,5,6,25,53,51,4,3,0
Egypt,5,5,3,44,54,59,4,12,0
Congo DR,4,5,0,22,41,44,9,6,0
Türkiye,3,5,-2,18,39,31,7,2,0
Netherlands,4,5,5,36,27,44,8,3,0
Czechia,3,6,-4,19,19,37,5,1,0
Switzerland,6,6,4,52,52,87,13,8,1
Canada,5,6,2,36,51,72,7,11,0
Croatia,4,7,-1,25,32,45,8,4,0
Jordan,3,7,-4,33,31,31,3,4,0
Belgium,6,7,6,50,47,78,8,6,1
Argentina,8,8,10,82,93,113,22,15,1
Bosnia–Herz,4,8,-4,34,37,60,2,7,1
Haiti,3,8,-7,29,28,55,7,7,0
United States,5,8,1,60,42,56,11,7,1
Qatar,3,8,-6,25,24,36,4,4,2
Senegal,4,9,1,31,29,36,10,3,0
Austria,4,9,-4,41,29,47,11,5,0
Algeria,4,9,-4,30,44,29,4,3,0
Curaçao,3,9,-8,39,26,32,5,7,0
France,8,10,10,65,77,84,14,6,0
Sweden,4,10,-3,31,30,43,9,5,0
Uzbekistan,3,10,-8,33,39,45,3,4,0
New Zealand,3,10,-6,24,21,32,4,4,0
Iraq,3,11,-10,23,35,27,1,4,1
Norway,6,11,1,44,67,58,5,3,0
Tunisia,3,11,-9,27,36,27,9,1,0
England,8,12,8,51,77,81,15,8,1
