team,gk_games,gk_minutes,gk_goals_against,gk_saves,gk_save_pct,gk_clean_sheets,gk_clean_sheets_pct,goals_conceded_per90
Spain,8,750,1,9,90.9,7,87.5,0.12
Portugal,5,450,3,19,86.4,2,40.0,0.6
Colombia,5,480,1,6,85.7,4,80.0,0.1875
Ghana,4,360,3,16,84.2,2,50.0,0.75
IR Iran,3,270,3,15,83.3,1,33.3,1.0
Australia,4,390,3,14,82.4,2,50.0,0.6923076923076924
Paraguay,5,480,6,23,79.3,2,40.0,1.125
Cabo Verde,4,390,5,18,78.3,2,50.0,1.153846153846154
Brazil,5,450,4,14,77.8,2,40.0,0.8
Switzerland,6,600,6,20,76.9,2,33.3,0.8999999999999999
Saudi Arabia,3,270,5,16,76.2,1,33.3,1.6666666666666667
Netherlands,4,390,5,16,76.2,0,0.0,1.153846153846154
Korea Republic,3,270,3,9,75.0,0,0.0,1.0
Congo DR,4,360,5,14,73.7,0,0.0,1.25
South Africa,4,360,4,11,73.3,1,25.0,1.0
Mexico,5,450,3,8,72.7,4,80.0,0.6
Argentina,8,810,8,20,71.4,2,25.0,0.8888888888888888
Japan,4,360,5,12,70.6,1,25.0,1.25
Morocco,6,570,6,14,70.0,2,33.3,0.9473684210526316
Belgium,6,570,7,16,69.6,1,16.7,1.105263157894737
Côte d'Ivoire,4,360,4,9,69.2,2,50.0,1.0
Ecuador,4,360,4,9,69.2,1,25.0,1.0
Curaçao,3,270,9,20,69.0,1,33.3,3.0
Scotland,3,270,4,8,66.7,1,33.3,1.3333333333333333
Norway,6,570,11,20,64.5,0,0.0,1.736842105263158
Panama,3,270,4,7,63.6,0,0.0,1.3333333333333333
Egypt,5,480,7,12,63.2,0,0.0,1.3125
England,8,750,12,20,62.5,2,25.0,1.44
Türkiye,3,270,5,8,61.5,0,0.0,1.6666666666666667
Czechia,3,270,6,9,60.0,0,0.0,2.0
Austria,4,360,9,13,59.1,0,0.0,2.25
Croatia,4,360,7,10,58.8,1,25.0,1.75
Sweden,4,360,10,14,58.3,0,0.0,2.5
Haiti,3,270,8,11,57.9,0,0.0,2.6666666666666665
Senegal,4,390,9,12,57.1,1,25.0,2.076923076923077
France,8,720,10,12,54.5,4,50.0,1.25
Qatar,3,270,10,12,54.5,0,0.0,3.3333333333333335
New Zealand,3,270,10,11,52.4,0,0.0,3.3333333333333335
Canada,5,450,6,6,50.0,2,40.0,1.2
Uruguay,3,270,4,4,50.0,0,0.0,1.3333333333333333
United States,5,450,8,8,50.0,2,40.0,1.6
Jordan,3,270,8,8,50.0,0,0.0,2.6666666666666665
Germany,4,390,5,5,50.0,0,0.0,1.153846153846154
Iraq,3,270,12,11,47.8,0,0.0,4.0
Algeria,4,360,9,8,47.1,0,0.0,2.25
Bosnia–Herz,4,360,8,6,42.9,0,0.0,2.0
Uzbekistan,3,270,11,6,35.3,0,0.0,3.6666666666666665
Tunisia,3,270,12,6,33.3,0,0.0,4.0
