round,home_team,away_team,home_score,away_score,total_goals
Third-place match,France,England,4.0,6.0,10.0
Group stage,Germany,Curaçao,7.0,1.0,8.0
Group stage,Sweden,Tunisia,5.0,1.0,6.0
Group stage,Canada,Qatar,6.0,0.0,6.0
Group stage,Netherlands,Sweden,5.0,1.0,6.0
Group stage,New Zealand,Belgium,1.0,5.0,6.0
Group stage,Morocco,Haiti,4.0,2.0,6.0
Group stage,England,Croatia,4.0,2.0,6.0
Group stage,Algeria,Austria,3.0,3.0,6.0
Group stage,Portugal,Uzbekistan,5.0,0.0,5.0
Group stage,Senegal,Iraq,5.0,0.0,5.0
Round of 32,Argentina,Cabo Verde,3.0,2.0,5.0
Group stage,Norway,Senegal,3.0,2.0,5.0
Round of 16,Argentina,Egypt,3.0,2.0,5.0
Round of 16,Mexico,England,2.0,3.0,5.0
