team,possession,shots,shots_on_target,goals
Mexico,61,16,4,2.0
Korea Republic,62,15,6,2.0
Canada,61,13,4,1.0
United States,65,16,6,4.0
Qatar,32,7,4,1.0
Brazil,51,12,5,1.0
Australia,28,9,4,2.0
Haiti,54,15,2,0.0
Germany,65,26,12,7.0
Netherlands,60,10,6,2.0
Côte d'Ivoire,48,15,4,1.0
Sweden,49,13,7,5.0
Belgium,54,15,3,1.0
Spain,74,27,7,0.0
Saudi Arabia,33,7,3,1.0
IR Iran,48,17,4,2.0
France,54,11,8,3.0
Iraq,39,11,1,1.0
Argentina,48,10,6,3.0
Austria,63,11,4,3.0
Portugal,75,7,1,1.0
England,52,22,11,4.0
Ghana,38,8,2,1.0
Uzbekistan,39,8,2,1.0
Czechia,38,14,3,1.0
Switzerland,62,13,7,4.0
Canada,79,32,10,6.0
Mexico,42,8,4,1.0
United States,62,10,2,2.0
Scotland,41,6,0,0.0
Türkiye,79,32,5,0.0
Brazil,57,8,5,3.0
Netherlands,51,10,7,5.0
Germany,59,16,7,2.0
Ecuador,75,27,15,0.0
Tunisia,38,2,0,0.0
Spain,67,22,8,4.0
Belgium,70,23,7,0.0
Uruguay,65,17,2,2.0
New Zealand,44,11,5,1.0
Argentina,54,12,5,2.0
France,56,19,5,3.0
Norway,42,13,7,3.0
Jordan,28,8,4,1.0
Portugal,66,17,9,5.0
England,79,19,3,0.0
Panama,42,8,1,0.0
Colombia,64,20,9,1.0
Switzerland,55,6,4,2.0
Bosnia–Herz,55,14,5,3.0
Scotland,46,14,5,0.0
Morocco,69,22,11,4.0
South Africa,32,13,4,1.0
Czechia,52,13,1,0.0
Curaçao,37,11,2,0.0
Ecuador,39,7,3,2.0
Tunisia,29,10,4,1.0
Japan,52,8,3,1.0
Türkiye,48,9,3,3.0
Paraguay,44,7,2,0.0
Norway,43,10,4,1.0
Senegal,69,28,12,5.0
Uruguay,33,5,1,0.0
Cabo Verde,51,15,2,0.0
Egypt,61,15,3,1.0
New Zealand,45,6,2,1.0
Croatia,53,8,4,2.0
Panama,33,13,2,0.0
Congo DR,58,19,4,3.0
Colombia,55,24,6,0.0
Jordan,27,5,1,1.0
Algeria,65,12,5,3.0
South Africa,58,6,1,0.0
Brazil,69,19,7,2.0
Germany,75,21,6,0.0
Netherlands,30,6,2,0.0
Côte d'Ivoire,47,14,5,1.0
France,61,25,12,3.0
Mexico,43,15,3,2.0
England,60,16,7,2.0
Belgium,52,19,5,3.0
United States,48,8,2,2.0
Spain,65,23,10,3.0
Portugal,61,15,3,2.0
Switzerland,45,11,5,2.0
Australia,42,16,1,0.0
Argentina,64,22,10,3.0
Colombia,61,20,8,1.0
Canada,45,10,3,0.0
Paraguay,24,5,0,0.0
Brazil,34,14,4,1.0
Mexico,67,20,5,2.0
