team,goals,goals_against,goal_difference,shots_on_target,possession,gk_clean_sheets,points_per_game,attack_score,shot_quality_score,possession_score,clean_sheet_score,points_score,defensive_score,overall_performance_score
Spain,13,1,12,54,64.1,7,2.75,0.65,0.9122807017543859,0.9393939393939393,1.0,1.0,1.0,0.8932814992025518
France,20,10,10,59,55.9,4,2.25,1.0,1.0,0.7134986225895317,0.5714285714285714,0.8181818181818182,0.18181818181818177,0.7479732388823298
Argentina,18,8,10,44,57.6,2,2.63,0.9,0.7368421052631579,0.7603305785123968,0.2857142857142857,0.9563636363636363,0.36363636363636365,0.700234698316038
England,20,12,8,53,54.1,2,2.38,1.0,0.8947368421052632,0.6639118457300276,0.2857142857142857,0.8654545454545454,0.0,0.6665497628368442
Mexico,10,3,7,21,52.2,4,2.4,0.5,0.3333333333333333,0.6115702479338844,0.5714285714285714,0.8727272727272727,0.8181818181818181,0.6191440377804014
Colombia,5,1,4,30,57.8,4,2.2,0.25,0.49122807017543857,0.7658402203856749,0.5714285714285714,0.8,1.0,0.608482518279169
Brazil,10,4,6,30,53.0,2,2.0,0.5,0.49122807017543857,0.6336088154269973,0.2857142857142857,0.7272727272727273,0.7272727272727273,0.559447689471613
Morocco,10,5,5,26,59.0,2,1.83,0.5,0.42105263157894735,0.7988980716253444,0.2857142857142857,0.6654545454545455,0.6363636363636364,0.539450299301974
Belgium,13,7,6,34,51.2,1,1.83,0.65,0.5614035087719298,0.5840220385674932,0.14285714285714285,0.6654545454545455,0.4545454545454546,0.5278140288738375
Germany,11,5,6,28,65.0,0,1.75,0.55,0.45614035087719296,0.9641873278236915,0.0,0.6363636363636364,0.6363636363636364,0.5250670581412209
Switzerland,10,6,4,30,54.0,2,1.83,0.5,0.49122807017543857,0.6611570247933884,0.2857142857142857,0.6654545454545455,0.5454545454545454,0.5225661467718884
Portugal,7,3,4,17,58.4,2,1.6,0.35,0.2631578947368421,0.7823691460055097,0.2857142857142857,0.5818181818181819,0.8181818181818181,0.48715865075912923
