player,team,position,minutes,shots,goals,goals_per_shot
Brian Brobbey,Netherlands,FW,223.0,4.0,3.0,0.75
Anthony Elanga,Sweden,"MF,FW",217.0,3.0,2.0,0.67
Daichi Kamada,Japan,MF,329.0,3.0,2.0,0.67
Daniel Muñoz,Colombia,DF,394.0,3.0,2.0,0.67
Johan Manzambi,Switzerland,"MF,FW",199.0,6.0,3.0,0.5
Ramin Rezaeian,IR Iran,"DF,MF",270.0,4.0,2.0,0.5
Habib Diarra,Senegal,MF,143.0,4.0,2.0,0.5
Ermin Mahmić,Bosnia–Herz,MF,68.0,4.0,2.0,0.5
Deniz Undav,Germany,FW,151.0,6.0,3.0,0.5
Maxi Araújo,Uruguay,"FW,MF",250.0,4.0,2.0,0.5
Charles De Ketelaere,Belgium,"FW,MF",350.0,6.0,3.0,0.5
Romelu Lukaku,Belgium,FW,233.0,6.0,3.0,0.5
Elijah Just,New Zealand,MF,264.0,7.0,3.0,0.43
Mikel Merino,Spain,MF,199.0,5.0,2.0,0.4
Azzedine Ounahi,Morocco,MF,435.0,5.0,2.0,0.4
