team,games,goals,goals_per90,shots,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,goals_per_possession
Japan,4,8,2.0,34,13,38.2,0.24,0.62,
Netherlands,4,10,2.31,46,22,47.8,0.22,0.45,
Norway,6,12,1.89,66,29,43.9,0.18,0.41,
Croatia,4,6,1.5,37,17,45.9,0.16,0.35,
United States,5,9,1.8,59,19,32.2,0.15,0.47,
Argentina,8,18,2.0,114,44,38.6,0.15,0.39,
Sweden,4,7,1.75,48,23,47.9,0.15,0.3,
France,8,20,2.5,139,59,42.4,0.14,0.32,
England,8,20,2.4,118,53,44.9,0.14,0.32,
Morocco,6,10,1.58,69,26,37.7,0.14,0.38,
Senegal,4,10,2.31,69,23,33.3,0.14,0.43,
Germany,4,11,2.54,74,28,37.8,0.14,0.36,
Jordan,3,3,1.0,24,9,37.5,0.13,0.33,
New Zealand,3,4,1.33,31,15,48.4,0.13,0.27,
Austria,4,5,1.25,32,8,25.0,0.13,0.5,
Mexico,5,10,2.0,70,21,30.0,0.13,0.43,
Brazil,5,10,2.0,74,30,40.5,0.12,0.3,
Egypt,5,8,1.5,67,18,26.9,0.12,0.44,
Belgium,6,13,2.05,112,34,30.4,0.11,0.35,
Bosnia–Herz,4,4,1.0,37,14,37.8,0.11,0.29,
Uzbekistan,3,2,0.67,18,5,27.8,0.11,0.4,
Tunisia,3,2,0.67,18,6,33.3,0.11,0.33,
Qatar,3,2,0.67,18,7,38.9,0.11,0.29,
Switzerland,6,10,1.5,74,30,40.5,0.11,0.27,
Algeria,4,5,1.25,44,15,34.1,0.11,0.33,
Côte d'Ivoire,4,5,1.25,45,14,31.1,0.11,0.36,
Portugal,5,7,1.4,62,17,27.4,0.1,0.35,
Congo DR,4,5,1.25,41,9,22.0,0.1,0.44,
Canada,5,8,1.6,80,31,38.8,0.1,0.26,
Paraguay,5,3,0.56,35,8,22.9,0.09,0.38,
Spain,8,13,1.56,140,54,38.6,0.09,0.22,
Cabo Verde,4,4,0.92,49,12,24.5,0.08,0.33,
IR Iran,3,3,1.0,37,11,29.7,0.08,0.27,
Ghana,4,2,0.5,24,4,16.7,0.08,0.5,
Uruguay,3,3,1.0,49,13,26.5,0.06,0.23,
Korea Republic,3,2,0.67,32,11,34.4,0.06,0.18,
Czechia,3,2,0.67,34,8,23.5,0.06,0.25,
Saudi Arabia,3,1,0.33,17,7,41.2,0.06,0.14,
Colombia,5,5,0.94,94,30,31.9,0.05,0.17,
Australia,4,2,0.46,42,12,28.6,0.05,0.17,
Iraq,3,1,0.33,21,2,9.5,0.05,0.5,
Ecuador,4,2,0.5,53,20,37.7,0.04,0.1,
Türkiye,3,3,1.0,71,16,22.5,0.04,0.19,
Curaçao,3,1,0.33,29,7,24.1,0.03,0.14,
Haiti,3,1,0.33,31,7,22.6,0.03,0.14,
Scotland,3,1,0.33,29,7,24.1,0.03,0.14,
South Africa,4,2,0.5,39,11,28.2,0.03,0.09,
Panama,3,0,0.0,32,7,21.9,0.0,0.0,
