team,games,goals,goals_against,goal_difference,points_per_game,possession
Spain,8,13,1,12,2.75,64.1
France,8,20,10,10,2.25,55.9
Argentina,8,18,8,10,2.63,57.6
England,8,20,12,8,2.38,54.1
Mexico,5,10,3,7,2.4,52.2
Belgium,6,13,7,6,1.83,51.2
Germany,4,11,5,6,1.75,65.0
Brazil,5,10,4,6,2.0,53.0
Morocco,6,10,5,5,1.83,59.0
Netherlands,4,10,5,5,2.0,53.3
Switzerland,6,10,6,4,1.83,54.0
Portugal,5,7,3,4,1.6,58.4
Colombia,5,5,1,4,2.2,57.8
Egypt,5,8,5,3,1.2,51.4
Japan,4,8,5,3,1.25,46.3
Canada,5,8,6,2,1.4,54.4
Norway,6,12,11,1,2.0,52.2
Senegal,4,10,9,1,0.75,55.3
United States,5,9,8,1,1.8,56.8
Côte d'Ivoire,4,5,4,1,1.5,49.8
Congo DR,4,5,5,0,1.0,40.0
Cabo Verde,4,4,4,0,0.75,37.3
IR Iran,3,3,3,0,1.0,39.0
Australia,4,2,2,0,1.25,41.0
Croatia,4,6,7,-1,1.5,49.8
Uruguay,3,3,4,-1,0.67,55.0
Ghana,4,2,3,-1,1.0,36.3
Korea Republic,3,2,3,-1,1.0,63.0
Paraguay,5,3,5,-2,1.0,30.0
Türkiye,3,3,5,-2,1.0,66.3
Ecuador,4,2,4,-2,1.0,55.8
South Africa,4,2,4,-2,1.0,48.0
Sweden,4,7,10,-3,1.0,46.3
Saudi Arabia,3,1,4,-3,0.67,38.3
Scotland,3,1,4,-3,1.0,44.3
Algeria,4,5,9,-4,1.0,61.0
Austria,4,5,9,-4,1.0,45.0
Bosnia–Herz,4,4,8,-4,1.0,46.0
Jordan,3,3,7,-4,0.0,30.7
Czechia,3,2,6,-4,0.33,42.7
Panama,3,0,4,-4,0.0,45.7
New Zealand,3,4,10,-6,0.33,47.0
Qatar,3,2,8,-6,0.33,33.0
Haiti,3,1,8,-7,0.0,42.7
Uzbekistan,3,2,10,-8,0.0,38.3
Curaçao,3,1,9,-8,0.33,32.3
Tunisia,3,2,11,-9,0.0,39.3
Iraq,3,1,11,-10,0.0,38.3
