player,team,position,games,minutes,assists,assists_per90
Michael Olise,France,MF,8,646.0,7.0,0.98
Bruno Guimarães,Brazil,MF,5,416.0,4.0,0.87
Brahim Díaz,Morocco,MF,6,457.0,4.0,0.79
Martin Ødegaard,Norway,MF,5,470.0,4.0,0.77
Kylian Mbappé,France,FW,8,695.0,4.0,0.52
Lionel Messi,Argentina,FW,8,740.0,4.0,0.49
Andreas Schjelderup,Norway,FW,6,252.0,3.0,1.07
Alexander Isak,Sweden,FW,4,357.0,3.0,0.76
Bukayo Saka,England,MF,7,358.0,3.0,0.75
Florian Wirtz,Germany,MF,4,361.0,3.0,0.75
Anthony Gordon,England,MF,6,396.0,3.0,0.68
Roberto Alvarado,Mexico,"FW,MF",5,428.0,3.0,0.63
Iliman Ndiaye,Senegal,FW,3,114.0,2.0,1.58
Deniz Undav,Germany,FW,4,151.0,2.0,1.19
Houssem Aouar,Algeria,MF,3,173.0,2.0,1.04
