Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Group
"June 11, 2026",,,,A
Mexico,2–0,South Africa,"Estadio Azteca, Mexico City",A
South Korea,2–1,Czech Republic,"Estadio Akron, Zapopan",A
"June 18, 2026",,,,A
Czech Republic,1–1,South Africa,"Mercedes-Benz Stadium, Atlanta",A
Mexico,1–0,South Korea,"Estadio Akron, Zapopan",A
"June 24, 2026",,,,A
Czech Republic,0–3,Mexico,"Estadio Azteca, Mexico City",A
South Africa,1–0,South Korea,"Estadio BBVA, Guadalupe",A
"June 12, 2026",,,,B
Canada,1–1,Bosnia and Herzegovina,"BMO Field, Toronto",B
"June 13, 2026",,,,B
Qatar,1–1,Switzerland,"Levi's Stadium, Santa Clara",B
"June 18, 2026",,,,B
Switzerland,4–1,Bosnia and Herzegovina,"SoFi Stadium, Inglewood",B
Canada,6–0,Qatar,"BC Place, Vancouver",B
"June 24, 2026",,,,B
Switzerland,2–1,Canada,"BC Place, Vancouver",B
Bosnia and Herzegovina,3–1,Qatar,"Lumen Field, Seattle",B
"June 13, 2026",,,,C
Brazil,1–1,Morocco,"MetLife Stadium, East Rutherford",C
Haiti,0–1,Scotland,"Gillette Stadium, Foxborough",C
"June 19, 2026",,,,C
Scotland,0–1,Morocco,"Gillette Stadium, Foxborough",C
Brazil,3–0,Haiti,"Lincoln Financial Field, Philadelphia",C
"June 24, 2026",,,,C
Scotland,0–3,Brazil,"Hard Rock Stadium, Miami Gardens",C
Morocco,4–2,Haiti,"Mercedes-Benz Stadium, Atlanta",C
"June 12, 2026",,,,D
United States,4–1,Paraguay,"SoFi Stadium, Inglewood",D
"June 13, 2026",,,,D
Australia,2–0,Turkey,"BC Place, Vancouver",D
"June 19, 2026",,,,D
United States,2–0,Australia,"Lumen Field, Seattle",D
Turkey,0–1,Paraguay,"Levi's Stadium, Santa Clara",D
"June 25, 2026",,,,D
Turkey,3–2,United States,"SoFi Stadium, Inglewood",D
Paraguay,0–0,Australia,"Levi's Stadium, Santa Clara",D
"June 14, 2026",,,,E
Germany,7–1,Curaçao,"NRG Stadium, Houston",E
Ivory Coast,1–0,Ecuador,"Lincoln Financial Field, Philadelphia",E
"June 20, 2026",,,,E
Germany,2–1,Ivory Coast,"BMO Field, Toronto",E
Ecuador,0–0,Curaçao,"Arrowhead Stadium, Kansas City",E
"June 25, 2026",,,,E
Curaçao,0–2,Ivory Coast,"Lincoln Financial Field, Philadelphia",E
Ecuador,2–1,Germany,"MetLife Stadium, East Rutherford",E
"June 14, 2026",,,,F
Netherlands,2–2,Japan,"AT&T Stadium, Arlington",F
Sweden,5–1,Tunisia,"Estadio BBVA, Guadalupe",F
"June 20, 2026",,,,F
Netherlands,5–1,Sweden,"NRG Stadium, Houston",F
Tunisia,0–4,Japan,"Estadio BBVA, Guadalupe",F
"June 25, 2026",,,,F
Japan,1–1,Sweden,"AT&T Stadium, Arlington",F
Tunisia,1–3,Netherlands,"Arrowhead Stadium, Kansas City",F
"June 15, 2026",,,,G
Belgium,1–1,Egypt,"Lumen Field, Seattle",G
Iran,2–2,New Zealand,"SoFi Stadium, Inglewood",G
"June 21, 2026",,,,G
Belgium,0–0,Iran,"SoFi Stadium, Inglewood",G
New Zealand,1–3,Egypt,"BC Place, Vancouver",G
"June 26, 2026",,,,G
Egypt,1–1,Iran,"Lumen Field, Seattle",G
New Zealand,1–5,Belgium,"BC Place, Vancouver",G
"June 15, 2026",,,,H
Spain,0–0,Cape Verde,"Mercedes-Benz Stadium, Atlanta",H
Saudi Arabia,1–1,Uruguay,"Hard Rock Stadium, Miami Gardens",H
"June 21, 2026",,,,H
Spain,4–0,Saudi Arabia,"Mercedes-Benz Stadium, Atlanta",H
Uruguay,2–2,Cape Verde,"Hard Rock Stadium, Miami Gardens",H
"June 26, 2026",,,,H
Cape Verde,0–0,Saudi Arabia,"NRG Stadium, Houston",H
Uruguay,0–1,Spain,"Estadio Akron, Zapopan",H
"June 16, 2026",,,,I
France,3–1,Senegal,"MetLife Stadium, East Rutherford",I
Iraq,1–4,Norway,"Gillette Stadium, Foxborough",I
"June 22, 2026",,,,I
France,3–0,Iraq,"Lincoln Financial Field, Philadelphia",I
Norway,3–2,Senegal,"MetLife Stadium, East Rutherford",I
"June 26, 2026",,,,I
Norway,1–4,France,"Gillette Stadium, Foxborough",I
Senegal,5–0,Iraq,"BMO Field, Toronto",I
"June 16, 2026",,,,J
Argentina,3–0,Algeria,"Arrowhead Stadium, Kansas City",J
Austria,3–1,Jordan,"Levi's Stadium, Santa Clara",J
"June 22, 2026",,,,J
Argentina,2–0,Austria,"AT&T Stadium, Arlington",J
Jordan,1–2,Algeria,"Levi's Stadium, Santa Clara",J
"June 27, 2026",,,,J
Algeria,3–3,Austria,"Arrowhead Stadium, Kansas City",J
Jordan,1–3,Argentina,"AT&T Stadium, Arlington",J
"June 17, 2026",,,,K
Portugal,1–1,DR Congo,"NRG Stadium, Houston",K
Uzbekistan,1–3,Colombia,"Estadio Azteca, Mexico City",K
"June 23, 2026",,,,K
Portugal,5–0,Uzbekistan,"NRG Stadium, Houston",K
Colombia,1–0,DR Congo,"Estadio Akron, Zapopan",K
"June 27, 2026",,,,K
Colombia,0–0,Portugal,"Hard Rock Stadium, Miami Gardens",K
DR Congo,3–1,Uzbekistan,"Mercedes-Benz Stadium, Atlanta",K
"June 17, 2026",,,,L
England,4–2,Croatia,"AT&T Stadium, Arlington",L
Ghana,1–0,Panama,"BMO Field, Toronto",L
"June 23, 2026",,,,L
England,0–0,Ghana,"Gillette Stadium, Foxborough",L
Panama,0–1,Croatia,"BMO Field, Toronto",L
"June 27, 2026",,,,L
Panama,0–2,England,"MetLife Stadium, East Rutherford",L
Croatia,2–1,Ghana,"Lincoln Financial Field, Philadelphia",L
