City,Stadium,Capacity,Matches,Match_Details
Mexico City,Estadio Azteca†,80824,5,"5 (3 group, 2 knockout)"
"New York/New Jersey (East Rutherford, New Jersey)",MetLife Stadium,80663,8,"8 (5 group, 2 knockout, and the final)"
"Dallas (Arlington, Texas)",AT&T Stadium‡,70649,9,"9 (5 group, 4 knockout)"
"Los Angeles (Inglewood, California)",SoFi Stadium‡,70492,8,"8 (5 group, 3 knockout)"
Kansas City,Arrowhead Stadium,69045,6,"6 (4 group, 2 knockout)"
"San Francisco Bay Area (Santa Clara, California)",Levi's Stadium,68827,6,"6 (5 group, 1 knockout)"
Houston,NRG Stadium‡,68777,7,"7 (5 group, 2 knockout)"
Philadelphia,Lincoln Financial Field,68324,6,"6 (5 group, 1 knockout)"
Atlanta,Mercedes-Benz Stadium‡,68239,8,"8 (5 group, 3 knockout)"
Seattle,Lumen Field,66925,6,"6 (4 group, 2 knockout)"
"Miami (Miami Gardens, Florida)",Hard Rock Stadium,64478,7,"7 (4 group, 2 knockout, and third-place)"
"Boston (Foxborough, Massachusetts)",Gillette Stadium,64146,7,"7 (5 group, 2 knockout)"
Vancouver,BC Place‡,52497,7,"7 (5 group, 2 knockout)"
"Monterrey (Guadalupe, Nuevo León)",Estadio BBVA,51243,4,"4 (3 group, 1 knockout)"
"Guadalajara (Zapopan, Jalisco)",Estadio Akron,45664,4,4 (4 group)
Toronto,BMO Field,43036,6,"6 (5 group, 1 knockout)"
