Rk,Club,Country,Players,Min,Countries,List of Countries
1,Manchester City,eng ENG,19,5558,12,ENG-4 · POR-3 · CRO-2 · NED-2 · ALG · BEL · EGY · FRA · GHA · NOR · ESP · UZB
2,Bayern Munich,de GER,18,5791,10,GER-7 · FRA-2 · SEN-2 · AUT · CAN · COL · CRO · ENG · JPN · KOR
3,Arsenal,eng ENG,16,4733,10,ENG-4 · ESP-3 · BRA-2 · BEL · ECU · FRA · GER · NED · NOR · SWE
4,Paris Saint-Germain,fr FRA,16,4811,9,FRA-5 · POR-4 · BRA · ECU · KOR · MAR · SEN · ESP · TUN
5,Barcelona,es ESP,15,4727,7,ESP-8 · ENG-2 · BRA · FRA · NED · POR · URU
6,Manchester United,eng ENG,12,2646,10,BRA-2 · POR-2 · ARG · BEL · CIV · ENG · MAR · SCO · TUR · URU
7,Crystal Palace,eng ENG,12,2748,10,COL-2 · FRA-2 · CIV · ENG · JPN · MAR · NOR · SEN · ESP · USA
8,Al-Hilal,sa KSA,12,2490,6,KSA-7 · FRA · MAR · POR · SEN · URU
9,Atlético Madrid,es ESP,12,2894,5,ARG-6 · ESP-3 · MEX · NOR · URU
10,Galatasaray,tr TUR,12,2345,7,TUR-6 · COL · CIV · GER · NED · SEN · URU
11,Liverpool,eng ENG,11,3731,9,NED-3 · ARG · BRA · EGY · FRA · GER · JPN · SCO · SWE
12,Dortmund,de GER,11,2306,7,GER-4 · AUT-2 · ALG · NOR · SWE · SUI · TUR
13,Slavia Prague,cz CZE,10,689,1,CZE-10
14,Real Madrid,es ESP,10,4159,9,FRA-2 · AUT · BEL · BRA · ENG · GER · MAR · TUR · URU
15,Flamengo,br BRA,10,1408,4,BRA-4 · URU-4 · COL · ECU
16,Sunderland,eng ENG,10,2128,8,NED-3 · COD · ECU · HAI · MAR · PAR · SEN · SUI
17,Milan,it ITA,10,2333,8,BEL-2 · FRA-2 · CRO · ECU · MEX · POR · SUI · USA
18,PSV Eindhoven,nl NED,10,2490,8,MAR-2 · USA-2 · AUT · BIH · CRO · CUW · CZE · NED
19,Al-Nassr,sa KSA,9,1345,3,KSA-6 · POR-2 · SEN
20,Al Ahly,eg EGY,9,2443,2,EGY-8 · MAR
21,Aston Villa,eng ENG,9,3506,6,ENG-3 · BEL-2 · ARG · FRA · SCO · SWE
22,Fenerbahçe,tr TUR,9,592,4,TUR-6 · BRA · FRA · POR
23,Al-Ahli,sa KSA,9,1302,7,KSA-3 · ALG · BRA · CIV · ENG · SEN · TUR
24,Chelsea,eng ENG,9,2595,8,ENG-2 · ARG · ECU · FRA · NED · POR · SEN · ESP
25,Hoffenheim,de GER,8,954,6,CZE-3 · AUT · CIV · CRO · GER · TUR
26,Nice,fr FRA,8,763,7,SEN-2 · ALG · CAN · CIV · EGY · GHA · TUN
27,Villarreal,es ESP,8,2197,7,CAN-2 · CPV · CIV · GHA · POR · SEN · USA
28,Tottenham Hotspur,eng ENG,8,2599,8,ARG · AUT · ENG · NED · SEN · ESP · SWE · URU
29,Marseille,fr FRA,8,1005,6,ARG-3 · ALG · CAN · MAR · NED · USA
30,Stuttgart,de GER,8,1120,5,GER-4 · BIH · ECU · MAR · SUI
31,Mamelodi Sundowns,za RSA,8,1636,1,RSA-8
32,Benfica,pt POR,8,1752,7,NOR-2 · ARG · BEL · BIH · CPV · COL · POR
33,Celtic,sct SCO,8,1144,7,SCO-2 · CAN · JPN · KOR · SWE · TUN · USA
34,Orlando Pirates,za RSA,8,1030,1,RSA-8
35,Lille,fr FRA,8,2150,4,BEL-3 · ALG-2 · COD-2 · MAR
36,Brighton & Hove Albion,eng ENG,8,2042,6,NED-3 · BEL · GER · PAR · SWE · TUR
37,Eintracht Frankfurt,de GER,8,1454,8,ALG · BEL · GER · JPN · MAR · SUI · TUN · TUR
38,Viktoria Plzeň,cz CZE,7,892,5,CZE-3 · AUT · BIH · GHA · IRQ
39,Sporting CP,pt POR,7,699,5,POR-3 · BEL · COL · CIV · URU
40,Al-Hussein SC,jo JOR,7,691,1,JOR-7
41,Atalanta,it ITA,7,1331,7,BEL · BIH · BRA · CIV · CRO · NED · SWE
42,Palmeiras,br BRA,7,1062,4,PAR-3 · URU-2 · ARG · COL
43,RB Leipzig,de GER,7,1308,4,AUT-3 · GER-2 · CIV · NOR
44,Newcastle United,eng ENG,7,1103,5,ENG-2 · GER-2 · BRA · COD · SWE
45,Strasbourg,fr FRA,7,902,5,BEL-2 · MAR-2 · ARG · CIV · PAR
46,Leverkusen,de GER,7,1174,7,ALG · ARG · CZE · ENG · NED · ESP · USA
47,Al Duhail SC,qa QAT,7,491,2,QAT-6 · ALG
48,Internazionale,it ITA,7,2004,7,ARG · CIV · CRO · FRA · NED · SUI · TUR
49,Juventus,it ITA,7,1329,7,BRA · CAN · NED · POR · SWE · TUR · USA
50,Real Betis,es ESP,7,1059,6,MAR-2 · ARG · COL · COD · MEX · SUI
51,Fulham,eng ENG,7,2696,6,NOR-2 · BEL · CAN · MEX · MAR · USA
52,Mönchengladbach,de GER,6,905,5,USA-2 · BIH · JPN · KOR · SUI
53,Young Boys,ch SUI,6,445,5,SUI-2 · ALG · BIH · HAI · TUN
54,Bournemouth,eng ENG,6,1046,5,SCO-2 · ARG · BRA · NED · USA
55,Auckland FC,nz NZL,6,92,1,NZL-6
56,Wolverhampton Wanderers,eng ENG,6,1068,6,CZE · HAI · KOR · NOR · POR · URU
57,Persepolis,ir IRN,6,469,2,IRN-4 · UZB-2
58,Mainz 05,de GER,6,1082,5,AUT-2 · GER · JPN · KOR · SUI
59,Al-Qadsiah,sa KSA,6,698,3,KSA-4 · GHA · MEX
60,Roma,it ITA,6,1295,6,BRA · CIV · FRA · MAR · NED · TUR
61,Monaco,fr FRA,6,1331,5,SEN-2 · CIV · FRA · SUI · USA
62,Esteghlal,ir IRN,6,370,3,IRN-3 · UZB-2 · HAI
63,Tractor,ir IRN,5,659,2,IRN-4 · UZB
64,América,mx MEX,5,528,3,URU-3 · MEX · USA
65,Norwich City,eng ENG,5,1027,5,AUS · CAN · PAN · SCO · TUN
66,Bologna,it ITA,5,1783,5,COL · CRO · NOR · SCO · SUI
67,Wolfsburg,de GER,5,296,5,ALG · AUT · GHA · JPN · SWE
