Rk,League,Country,Players,Min,Countries,List of Countries
1,English Premier League,eng ENG,167,44519,38,ENG-21 · NED-16 · BRA-8 · SCO-8 · SWE-8 · BEL-7 · FRA-7 · NOR-7 · POR-7 · SEN-7 · ESP-7 · ARG-6 · GER-5 · COD-4 · MAR-4 · SUI-4 · USA-4 · CIV-3 · ECU-3 · JPN-3 · URU-3 · COL-2 · CRO-2 · CZE-2 · EGY-2 · HAI-2 · MEX-2 · PAR-2 · TUR-2 · ALG · AUT · CAN · GHA · KOR · NZL · RSA · TUN · UZB
2,German Bundesliga,de GER,103,19127,28,GER-20 · AUT-14 · SUI-8 · JPN-7 · CRO-5 · ALG-4 · CZE-4 · BIH-3 · KOR-3 · NOR-3 · SWE-3 · TUN-3 · TUR-3 · USA-3 · AUS-2 · CIV-2 · ENG-2 · FRA-2 · MAR-2 · SEN-2 · ARG · BEL · CAN · COL · ECU · GHA · NED · ESP
3,Spanish La Liga,es ESP,82,20510,29,ESP-17 · ARG-7 · GHA-4 · MAR-4 · POR-4 · SUI-4 · URU-4 · CAN-3 · CRO-3 · ENG-3 · FRA-3 · AUT-2 · BEL-2 · BRA-2 · COL-2 · COD-2 · MEX-2 · NOR-2 · SEN-2 · AUS · CPV · CIV · EGY · GER · JPN · NED · SWE · TUR · USA
4,French Ligue 1,fr FRA,82,15883,28,FRA-8 · SEN-8 · GHA-6 · MAR-6 · ALG-5 · ARG-5 · BEL-5 · COD-4 · CIV-4 · POR-4 · SUI-3 · TUN-3 · USA-3 · BRA-2 · CAN-2 · HAI-2 · BIH · COL · CZE · ECU · EGY · JPN · JOR · KOR · NED · PAR · KSA · ESP
5,Italian Serie A (M),it ITA,68,15111,26,CRO-7 · BEL-5 · NOR-5 · FRA-4 · NED-4 · SCO-4 · SUI-4 · BRA-3 · CIV-3 · SWE-3 · TUR-3 · ARG-2 · AUS-2 · BIH-2 · CAN-2 · COL-2 · MEX-2 · POR-2 · USA-2 · ALG · ECU · JPN · MAR · PAR · SEN · URU
6,Saudi Pro League,sa KSA,49,7109,18,KSA-25 · POR-3 · SEN-3 · ALG-2 · BRA-2 · MAR-2 · CIV · EGY · ENG · FRA · GHA · IRQ · JOR · MEX · PAN · SCO · TUR · URU
7,Major League Soccer,us USA,44,7901,17,CAN-8 · USA-8 · PAR-4 · AUS-3 · HAI-3 · ARG-2 · CPV-2 · CRO-2 · NZL-2 · PAN-2 · RSA-2 · COL · GHA · IRQ · KOR · SWE · TUN
8,Turkish Süper Lig,tr TUR,43,5906,20,TUR-15 · CIV-5 · CPV-2 · CUW-2 · SEN-2 · TUN-2 · UZB-2 · BIH · BRA · COL · COD · FRA · GER · GHA · HAI · KOR · NED · PAN · POR · URU
9,English Championship,eng ENG,36,4631,17,SCO-5 · AUS-4 · NZL-4 · CAN-3 · GHA-3 · KOR-3 · CUW-2 · NOR-2 · SWE-2 · BIH · COD · CRO · IRQ · PAN · PAR · TUN · USA
10,Dutch Eredivisie,nl NED,33,5935,16,CUW-8 · JPN-5 · ALG-2 · AUS-2 · CRO-2 · MAR-2 · NED-2 · USA-2 · AUT · BIH · CPV · CZE · IRQ · KOR · MEX · NZL
11,Brazilian Série A,br BRA,33,3925,7,URU-8 · BRA-7 · PAR-7 · ECU-5 · COL-4 · ARG · NED
12,Qatari Stars League,qa QAT,29,3533,4,QAT-25 · JOR-2 · ALG · EGY
13,Portuguese Primeira Liga,pt POR,28,4740,15,POR-5 · CPV-4 · CIV-3 · BEL-2 · COL-2 · NOR-2 · URU-2 · ARG · AUT · BIH · CAN · CZE · RSA · SWE · TUR
14,Belgian Pro League,be BEL,27,2578,12,ECU-4 · BEL-3 · CIV-3 · JPN-3 · CAN-2 · COD-2 · HAI-2 · IRN-2 · MAR-2 · SWE-2 · ALG · MEX
15,Mexican Liga MX,mx MEX,27,4764,7,MEX-12 · PAN-4 · URU-4 · ECU-3 · COL-2 · CAN · USA
16,Iranian Persian Gulf Pro League,ir IRN,23,2174,3,IRN-17 · UZB-5 · HAI
17,Czech First League,cz CZE,22,1829,5,CZE-17 · BIH-2 · AUT · GHA · IRQ
18,Egyptian Premier League,eg EGY,20,3547,4,EGY-17 · COD · JOR · MAR
