Algeria,,,ALG,DZA,Africa
Argentina,,,ARG,ARG,South America
Australia,,,AUS,AUS,Oceania
Austria,,,AUT,AUT,Europe
Belgium,,,BEL,BEL,Europe
Bosnia and Herzegovina,,,BIH,BIH,Europe
Brazil,,,BRA,BRA,South America
Canada,,,CAN,CAN,North America
Cape Verde,,,CPV,CPV,Africa
Colombia,,,COL,COL,South America
Croatia,,,CRO,HRV,Europe
Curacao,,,CUW,CUW,North America
Czechia,,,CZE,CZE,Europe
DR Congo,,,COD,COD,Africa
Ecuador,,,ECU,ECU,South America
Egypt,,,EGY,EGY,Africa
England,,,ENG,GBR,Europe
France,,,FRA,FRA,Europe
Germany,,,GER,DEU,Europe
Ghana,,,GHA,GHA,Africa
Haiti,,,HAI,HTI,North America
Iran,,,IRN,IRN,Asia
Iraq,,,IRQ,IRQ,Asia
Ivory Coast,,,CIV,CIV,Africa
Japan,,,JPN,JPN,Asia
Jordan,,,JOR,JOR,Asia
Mexico,,,MEX,MEX,North America
Morocco,,,MAR,MAR,Africa
Netherlands,,,NED,NLD,Europe
New Zealand,,,NZL,NZL,Oceania
Norway,,,NOR,NOR,Europe
Panama,,,PAN,PAN,North America
Paraguay,,,PAR,PRY,South America
Portugal,,,POR,PRT,Europe
Qatar,,,QAT,QAT,Asia
Saudi Arabia,,,KSA,SAU,Asia
Scotland,,,SCO,GBR,Europe
Senegal,,,SEN,SEN,Africa
South Africa,,,RSA,ZAF,Africa
South Korea,,,KOR,KOR,Asia
Spain,,,ESP,ESP,Europe
Sweden,,,SWE,SWE,Europe
Switzerland,,,SUI,CHE,Europe
Tunisia,,,TUN,TUN,Africa
Turkey,,,TUR,TUR,Europe
United States,,,USA,USA,North America
Uruguay,,,URU,URY,South America
Uzbekistan,,,UZB,UZB,Asia
