pre_world_cup_rank,,Team,,fifa_code,Confederation,,Points,post_world_cup_rank
1,,Argentina,,ARG,CONMEBOL,,1885.36,2
2,,Spain,,ESP,UEFA,,1867.09,1
3,,France,,FRA,UEFA,,1870.7,3
4,,England,,ENG,UEFA,,1828.02,4
5,,Portugal,,POR,UEFA, ,1767.85,7
6,,Brazil,,BRA,CONMEBOL,,1765.86,5
7,,Morocco,,MAR,CAF,,1755.1,6
8,,Netherlands,,NED,UEFA,,1753.57,9
9,,Belgium,,BEL,UEFA,,1742.24,8
10,,Germany,,GER,UEFA,,1735.77,12
11,,Croatia,,CRO,UEFA,,1714.87,13
13,,Colombia,,COL,CONMEBOL,,1698.35,11
14,,Mexico,,MEX,CONCACAF,,1687.48,10
15,,Senegal,,SEN,CAF,,1684.07,18
16,,Uruguay,,URU,CONMEBOL,,1673.07,20
17,,United States,,USA,CONCACAF,,1671.23,16
18,,Japan,,JPN,ASIA,,1661.58,17
19,,Switzerland,,SUI,UEFA,,1650.06,14
20,,Iran,,IRN,ASIA,,1619.58,22
22,,Türkiye,,TUR,UEFA,,1605.73,27
23,,Ecuador,,ECU,CONMEBOL,,1598.52,25
24,,Austria,,AUT,UEFA,,1597.4,23
25,,South Korea,,KOR,ASIA,,1591.63,32
27,,Australia,,AUS,ASIA,,1579.34,28
28,,Algeria,,ALG,CAF,,1571.03,29
29,,Egypt,,EGY,CAF,,1562.37,24
30,,Canada,,CAN,CONCACAF,,1559.48,30
31,,Norway,,NOR,UEFA,,1557.44,19
33,,Ivory Coast,,CIV,CAF,,1540.87,31
34,,Panama,,PAN,CONCACAF,,1539.16,40
38,,Sweden,,SWE,UEFA,,1509.79,37
40,,Czechia,,CZE,UEFA,,1505.74,48
41,,Paraguay,,PAR,CONCACAF,,1505.35,34
42,,Scotland,,SCO,UEFA,,1503.34,42
45,,Tunisia,,TUN,CAF,,1476.41,57
46,,Congo DR,,COD,CAF,,1474.43,41
50,,Uzbekistan,,UZB,ASIA,,1458.73,60
56,,Qatar,,QAT,ASIA,,1450.31,59
57,,Iraq,,IRQ,ASIA,,1446.28,63
60,,South Africa,,RSA,CAF,,1428.38,54
61,,Saudi Arabia,,KSA,ASIA,,1423.88,58
63,,Jordan,,JOR,ASIA,,1387.74,73
64,, Bosnia,,BIH,UEFA,,1387.22,61
67,,Cape Verde,,CPV,CAF,,1371.11,64
73,,Ghana,,GHA,CAF,,1346.88,65
82,,Curaçao,,CUW,CONCACAF,,1294.77,82
83,,Haiti,,HAI,CONCACAF,,1293.1,88
84,,Syria,,SYR,ASIA,,1283.05,83
85,,New Zealand,,NZL,OFC,,1275.58,86
