Players,Clubs,Goals,6 yrds,18 yrds,18 yrds plus,Unknown yards
Kylian Mbappe,France,10,-,8,2,-
Lionel Messi,Argentina,8,2,4,2,-
Jude Bellingham,England,7,2,5,-,-
Erling Haaland,Norway,7,1,5,1,-
Ousmane Dembele,France,6,-,4,2,-
Harry Kane,England,6,-,6,-,-
Mikel Oyarzabal,Spain,5,2,3,-,-
Ismaila Sarr,Senegal,4,1,3,-,-
Vinicius Junior,Brazil,4,1,3,-,-
Julian Quinones,Mexico,4,1,3,-,-
Folarin Balogun,United States,3,-,3,-,-
Bukayo Saka,England,3,-,3,-,-
Cody Gakpo,Netherlands,3,-,3,-,-
Deniz Undav,Germany,3,1,2,-,-
Charles de Ketelaere,Belgium,3,2,1,-,-
Brian Brobbey,Netherlands,3,1,2,-,-
Lautaro Martinez,Argentina,3,1,2,-,-
Ismael Saibari,Morocco,3,-,2,1,-
Romelu Lukaku,Belgium,3,2,1,-,-
Kai Havertz,Germany,3,-,3,-,-
Cristiano Ronaldo,Portugal,3,-,3,-,-
Elijah Just,New Zealand,3,-,3,-,-
Matheus Cunha,Brazil,3,-,3,-,-
Yoane Wissa,DR Congo (Zaire),3,1,1,1,-
Jonathan David,Canada,3,1,2,-,-
Johan Manzambi,Switzerland,3,-,3,-,-
Bradley Barcola,France,3,-,3,-,-
Raul Jimenez,Mexico,3,1,2,-,-
Amad Diallo,Ivory Coast,2,1,1,-,-
Yasin Ayari,Sweden,2,-,-,2,-
Crysensio Summerville,Netherlands,2,-,1,1,-
Daichi Kamada,Japan,2,1,1,-,-
Enzo Fernandez,Argentina,2,-,1,1,-
Eman Ashour,Egypt,2,-,1,1,-
Ramin Rezaeian,Iran,2,1,1,-,-
Mikel Merino,Spain,2,1,1,-,-
Pedro Porro,Spain,2,-,2,-,-
Maximiliano Araujo,Uruguay,2,2,-,-,-
Malik Tillman,United States,2,-,-,2,-
Cyle Larin,Canada,2,1,1,-,-
Mostafa Ziko,Egypt,2,-,2,-,-
Anthony Elanga,Sweden,2,-,2,-,-
Ayase Ueda,Japan,2,-,2,-,-
Nicolas Pepe,Ivory Coast,2,-,2,-,-
Soufiane Rahimi,Morocco,2,-,2,-,-
Ermin Mahmic,Bosnia and Herzegovina,2,-,2,-,-
Ruben Vargas,Switzerland,2,-,2,-,-
Marko Arnautovic,Austria,2,-,2,-,-
Azzeddine Ounahi,Morocco,2,-,2,-,-
Dan Ndoye,Switzerland,2,-,2,-,-
Daniel Munoz,Colombia,2,-,2,-,-
Youri Tielemans,Belgium,2,-,2,-,-
Leandro Trossard,Belgium,2,1,1,-,-
Pape Gueye,Senegal,2,-,2,-,-
Breel Embolo,Switzerland,2,-,2,-,-
Riyad Mahrez,Algeria,2,-,2,-,-
Martin Baturina,Croatia,1,-,-,1,-
Luis Diaz,Colombia,1,-,1,-,-
Arda Guler,Turkey,1,-,1,-,-
Jaminton Leandro Campaz,Colombia,1,-,1,-,-
Ladislav Krejci II,Czech Republic,1,1,-,-,-
Abbosbek Fayzullaev,Uzbekistan,1,1,-,-,-
In-Beom Hwang,South Korea,1,-,1,-,-
Petar Musa,Croatia,1,-,1,-,-
Romano Schmid,Austria,1,-,-,1,-
Ali Olwan,Jordan,1,-,1,-,-
Omar Rekik,Tunisia,1,-,1,-,-
Joao Neves,Portugal,1,-,1,-,-
