Assists,AN,Country,%,LR,RG
7,Michael Olise,France(20),35,Kylian Mbappe,5
4,Brahim Diaz,Morocco(10),40,Ismael Saibari,2
4,Kylian Mbappe,France(20),20,Ousmane Dembele,3
4,Martin Odegaard,Norway(12),33,Andreas Schjelderup,1
4,Bruno Guimaraes,Brazil(10),40,Vinicius Junior,2
4,Lionel Messi,Argentina(18),22,Lautaro Martinez,1
3,Roberto Alvarado,Mexico(10),30,Julian Quinones,1
3,Andreas Schjelderup,Norway(12),25,Erling Haaland,2
3,Bukayo Saka,England(20),15,Jude Bellingham,2
3,Alexander Isak,Sweden(7),43,Anthony Elanga,1
3,Florian Wirtz,Germany(11),27,Kai Havertz,1
3,Anthony Gordon,England(20),15,Harry Kane,2
2,Nicolas Raskin,Belgium(13),15,Charles de Ketelaere,1
2,Chris Wood,New Zealand(4),50,Elijah Just,2
2,Marc Cucurella,Spain(13),15,Mikel Oyarzabal,2
2,Dani Olmo,Spain(13),15,Pedro Porro,1
2,Mohamed Salah,Egypt(8),25,Trezeguet,1
2,Houssem Aouar,Algeria(5),40,Riyad Mahrez,2
2,Ousmane Dembele,France(20),10,Kylian Mbappe,2
2,Leandro Trossard,Belgium(13),15,Charles de Ketelaere,1
2,Declan Rice,England(20),10,Ezri Konsa,1
2,Hannibal Mejbri,Tunisia(2),100,Hazem Mastouri,1
2,Iliman Ndiaye,Senegal(10),20,Pape Gueye,1
2,Patrick Berg,Norway(12),17,Erling Haaland,2
2,Hans Vanaken,Belgium(13),15,Romelu Lukaku,1
2,Viktor Gyokeres,Sweden(7),29,Anthony Elanga,1
2,Denzel Dumfries,Netherlands(10),20,Brian Brobbey,1
2,Julio Enciso,Paraguay(3),67,Matias Galarza,1
2,Johan Manzambi,Switzerland(10),20,Breel Embolo,1
2,Deniz Undav,Germany(11),18,Nathaniel Brown,1
