#,Players,Country,Nationality,GC
1,Mahmud Abunada,Qatar,Qatar,11
2,Alexander Schlager,Austria,Austria,10
3,Mike Maignan,France,France,10
4,Max Crocombe,New Zealand,New Zealand,10
5,Johny Placide,Haiti,Haiti,9
6,Eloy Room,Curacao,Curacao,9
7,Emiliano Martinez,Argentina,Argentina,9
8,Nikola Vasilj,Bosnia and Herzegovina,Bosnia and Herzegovina,9
9,Ahmed Basil,Iraq,Iraq,8
10,Abduvohid Nematov,Uzbekistan,Uzbekistan,8
11,Yazeed Abulaila,Jordan,Jordan,8
12,Orjan Nyland,Norway,Norway,8
13,Jordan Pickford,England,England,8
14,Thibaut Courtois,Belgium,Belgium,8
15,Mostafa Shobeir,Egypt,Egypt,7
16,Matt Freese,United States,United States,7
17,Maxime Crepeau,Canada,Canada,7
18,Aymen Dahmen,Tunisia,Tunisia,7
19,Dominik Livakovic,Croatia,Croatia,7
20,Gregor Kobel,Switzerland,Switzerland,6
