Goals,Clubs,VS Club,Sections
10,England,France,Third Place Play Off
8,Germany,Curacao,Group Stage
6,Austria,Algeria,Group Stage
6,Belgium,New Zealand,Group Stage
6,Haiti,Morocco,Group Stage
6,Netherlands,Sweden,Group Stage
6,Canada,Qatar,Group Stage
6,England,Croatia,Group Stage
6,Sweden,Tunisia,Group Stage
5,Argentina,Egypt,Round of 16
5,Belgium,United States,Round of 16
5,England,Mexico,Round of 16
5,Argentina,Cape Verde,Round of 32
5,Belgium,Senegal,Round of 32
5,Senegal,Iraq,Group Stage
5,France,Norway,Group Stage
5,Turkey,United States,Group Stage
5,Portugal,Uzbekistan,Group Stage
5,Norway,Senegal,Group Stage
5,Switzerland,Bosnia and Herzegovina,Group Stage
5,Norway,Iraq,Group Stage
5,Paraguay,United States,Group Stage
4,Switzerland,Argentina,Quarter-Finals
4,Uzbekistan,DR Congo (Zaire),Group Stage
4,Argentina,Jordan,Group Stage
