Goals,Players,Country,Country
3,Lionel Messi,Argentina,Algeria
3,Jonathan David,Canada,Qatar
3,Ousmane Dembele,France,Norway
3,Bukayo Saka,England,France
2,Cody Gakpo,Netherlands,Sweden
2,Pape Gueye,Senegal,Iraq
2,Kylian Mbappe,France,Iraq
2,Youri Tielemans,Belgium,Senegal
2,Nicolas Pepe,Ivory Coast,Curacao
2,Erling Haaland,Norway,Iraq
2,Kylian Mbappe,France,England
2,Leandro Trossard,Belgium,New Zealand
2,Kylian Mbappe,France,Senegal
2,Jude Bellingham,England,Mexico
2,Mikel Oyarzabal,Spain,Austria
2,Ismaila Sarr,Senegal,Norway
2,Riyad Mahrez,Algeria,Austria
2,Brian Brobbey,Netherlands,Sweden
2,Erling Haaland,Norway,Senegal
2,Ayase Ueda,Japan,Tunisia
2,Azzeddine Ounahi,Morocco,Canada
2,Kai Havertz,Germany,Curacao
2,Yasin Ayari,Sweden,Tunisia
2,Vinicius Junior,Brazil,Scotland
2,Deniz Undav,Germany,Ivory Coast
2,Folarin Balogun,United States,Paraguay
2,Harry Kane,England,DR Congo (Zaire)
2,Charles de Ketelaere,Belgium,United States
2,Yoane Wissa,DR Congo (Zaire),Uzbekistan
2,Mikel Oyarzabal,Spain,Saudi Arabia
2,Matheus Cunha,Brazil,Haiti
2,Cristiano Ronaldo,Portugal,Uzbekistan
2,Jude Bellingham,England,Norway
2,Kylian Mbappe,France,Sweden
2,Harry Kane,England,Croatia
2,Lionel Messi,Argentina,Austria
2,Elijah Just,New Zealand,Iran
2,Erling Haaland,Norway,Brazil
2,Johan Manzambi,Switzerland,Bosnia and Herzegovina
1,Julio Enciso,Paraguay,Germany
1,Soufiane Rahimi,Morocco,Canada
1,Kerim-Sam Alajbegovic,Bosnia and Herzegovina,Qatar
1,Nico Schlotterbeck,Germany,Curacao
1,Lautaro Martinez,Argentina,England
1,Joao Neves,Portugal,DR Congo (Zaire)
1,Habib Diarra,Senegal,Belgium
1,Raul Jimenez,Mexico,South Africa
1,Enzo Fernandez,Argentina,Egypt
1,Gonzalo Plata,Ecuador,Germany
1,Omar Rekik,Tunisia,Sweden
1,Marko Arnautovic,Austria,Algeria
1,Granit Xhaka,Switzerland,Bosnia and Herzegovina
1,Kaishu Sano,Japan,Brazil
1,Junya Ito,Japan,Tunisia
1,Jhon Arias,Colombia,Ghana
1,Mateo Chavez,Mexico,Czech Republic
1,Nestory Irankunda,Australia,Turkey
1,Pedro Porro,Spain,France
1,Habib Diallo,Senegal,Iraq
1,Romano Schmid,Austria,Jordan
1,Kevin Pina,Cape Verde,Uruguay
1,Lionel Messi,Argentina,Egypt
1,Viktor Gyokeres,Sweden,Tunisia
1,Harry Kane,England,Panama
1,Teboho Mokoena,South Africa,Czech Republic
1,Casemiro,Brazil,Japan
1,Franck Kessie,Ivory Coast,Germany
1,Deroy Duarte,Cape Verde,Argentina
1,Julian Quinones,Mexico,Czech Republic
1,Giovanni Reyna,United States,Paraguay
1,Julian Alvarez,Argentina,Switzerland
1,Desire Doue,France,Norway
1,Brian Cipenga,DR Congo (Zaire),England
1,Maximiliano Araujo,Uruguay,Cape Verde
1,Malik Tillman,United States,Belgium
1,Matheus Cunha,Brazil,Scotland
1,Mattias Svanberg,Sweden,Tunisia
1,Nikola Vlasic,Croatia,Ghana
1,Caleb Yirenkyi,Ghana,Panama
1,Fiston Mayele,DR Congo (Zaire),Uzbekistan
1,Matias Galarza,Paraguay,Turkey
1,Lionel Messi,Argentina,Cape Verde
1,Daniel Munoz,Colombia,DR Congo (Zaire)
1,Mauricio,Paraguay,United States
1,Lautaro Martinez,Argentina,Switzerland
1,Hazem Mastouri,Tunisia,Netherlands
1,Julian Quinones,Mexico,Ecuador
1,Lamine Yamal,Spain,Saudi Arabia
1,Hans Vanaken,Belgium,United States
1,Soufiane Rahimi,Morocco,Haiti
1,Daichi Kamada,Japan,Netherlands
1,Ferran Torres,Spain,Argentina
1,Elijah Just,New Zealand,Belgium
1,Petar Musa,Croatia,England
1,Eldor Shomurodov,Uzbekistan,DR Congo (Zaire)
1,Vinicius Junior,Brazil,Haiti
1,Dan Ndoye,Switzerland,Algeria
1,Rafael Leao,Portugal,Uzbekistan
1,Ismael Saibari,Morocco,Brazil
1,Andreas Schjelderup,Norway,England
1,Jan Paul van Hecke,Netherlands,Tunisia
1,Ibrahima M'Baye,Senegal,France
1,Bradley Barcola,France,Sweden
1,Finn Surman,New Zealand,Egypt
1,Julian Quinones,Mexico,England
1,Achraf Hakimi,Morocco,Haiti
1,Virgil van Dijk,Netherlands,Japan
1,Marcus Rashford,England,Croatia
1,Ismael Saibari,Morocco,Scotland
1,Ivan Perisic,Croatia,Portugal
1,Nadhir Benbouali,Algeria,Jordan
1,Breel Embolo,Switzerland,Qatar
1,Mikel Merino,Spain,Belgium
1,Anthony Elanga,Sweden,Japan
1,Lautaro Martinez,Argentina,Jordan
1,Amad Diallo,Ivory Coast,Norway
1,Trezeguet,Egypt,New Zealand
1,Promise David Akinpelu,Canada,Switzerland
1,Livano Comenencia,Curacao,Germany
1,Jude Bellingham,England,France
1,Romelu Lukaku,Belgium,New Zealand
1,Abbosbek Fayzullaev,Uzbekistan,Colombia
1,Cristiano Ronaldo,Portugal,Croatia
1,Nizar Al-Rashdan,Jordan,Algeria
1,Jovo Lukic,Bosnia and Herzegovina,Canada
1,Charles de Ketelaere,Belgium,Spain
1,Auston Trusty,United States,Turkey
1,Maximiliano Araujo,Uruguay,Saudi Arabia
1,Lionel Messi,Argentina,Jordan
1,Erling Haaland,Norway,Ivory Coast
1,Anthony Elanga,Sweden,Netherlands
1,Neymar,Brazil,Norway
1,Ruben Vargas,Switzerland,Canada
1,Deniz Undav,Germany,Curacao
1,Declan Rice,England,France
1,Ramin Rezaeian,Iran,Egypt
1,Daniel Munoz,Colombia,Uzbekistan
1,Ermin Mahmic,Bosnia and Herzegovina,Switzerland
1,In-Beom Hwang,South Korea,Czech Republic
1,Ousmane Dembele,France,Morocco
1,Orkun Kokcu,Turkey,United States
1,Mohammad Mohebi,Iran,New Zealand
1,Cody Gakpo,Netherlands,Morocco
1,Kylian Mbappe,France,Paraguay
1,Ermin Mahmic,Bosnia and Herzegovina,Qatar
1,Jamal Musiala,Germany,Curacao
1,Enzo Fernandez,Argentina,England
1,Iliman Ndiaye,Senegal,Iraq
1,Yoane Wissa,DR Congo (Zaire),Portugal
1,Ruben Vargas,Switzerland,Bosnia and Herzegovina
1,Folarin Balogun,United States,Bosnia and Herzegovina
1,Julian Quinones,Mexico,South Africa
1,Mostafa Ziko,Egypt,Argentina
1,Nilson Angulo,Ecuador,Germany
1,Eman Ashour,Egypt,Belgium
1,Marcel Sabitzer,Austria,Algeria
1,Kai Havertz,Germany,Paraguay
1,Thapelo Maseko,South Africa,South Korea
1,Anthony Gordon,England,Argentina
1,Ismaila Sarr,Senegal,Iraq
1,Ali Olwan,Jordan,Austria
1,Ismaila Sarr,Senegal,Belgium
1,Ousmane Dembele,France,Iraq
1,Cristian Romero,Argentina,Egypt
1,Leroy Sane,Germany,Ecuador
1,Jude Bellingham,England,Panama
1,Luis Romo,Mexico,South Korea
1,Gabriel Martinelli,Brazil,Japan
1,Daichi Kamada,Japan,Tunisia
1,Sidney Cabral,Cape Verde,Argentina
1,Alvaro Fidalgo,Mexico,Czech Republic
1,Connor Metcalfe,Australia,Turkey
1,Mikel Oyarzabal,Spain,France
1,Thelo Aasgaard,Norway,France
1,Marko Arnautovic,Austria,Jordan
1,Romelu Lukaku,Belgium,Senegal
1,Helio Varela,Cape Verde,Uruguay
1,Mikel Merino,Spain,Portugal
1,Alexander Isak,Sweden,Tunisia
1,Derrick Luckassen,Ghana,Croatia
1,Michal Sadilek,Czech Republic,South Africa
1,Stephen Eustaquio,Canada,South Africa
1,Lisandro Martinez,Argentina,Cape Verde
1,Ante Budimir,Croatia,Panama
1,Alexis Mac Allister,Argentina,Switzerland
1,Aymen Hussein,Iraq,Norway
1,Agustin Canobbio,Uruguay,Cape Verde
1,Gessine Yassine,Morocco,Haiti
1,Keito Nakamura,Japan,Netherlands
1,Petar Sucic,Croatia,Ghana
1,Martin Baturina,Croatia,England
1,Alex Freeman,United States,Australia
1,Eman Ashour,Egypt,Australia
1,Nuno Mendes,Portugal,Uzbekistan
1,John McGinn,Scotland,Haiti
1,Dan Ndoye,Switzerland,Argentina
1,Brian Brobbey,Netherlands,Tunisia
1,Leo Ostigard,Norway,Iraq
1,Raul Jimenez,Mexico,Ecuador
1,Romelu Lukaku,Belgium,United States
1,Ismael Saibari,Morocco,Haiti
1,Crysensio Summerville,Netherlands,Japan
1,Bradley Barcola,France,England
1,Alexis Saelemaekers,Belgium,New Zealand
1,Jude Bellingham,England,Croatia
1,Breel Embolo,Switzerland,Algeria
1,Vinicius Junior,Brazil,Morocco
1,Daizen Maeda,Japan,Sweden
1,Bradley Barcola,France,Senegal
1,Musa Al-Taamari,Jordan,Argentina
1,Mostafa Ziko,Egypt,New Zealand
1,Raul Jimenez,Mexico,England
1,Wilson Isidor,Haiti,Morocco
1,Amad Diallo,Ivory Coast,Ecuador
1,Ousmane Dembele,France,England
1,Kevin De Bruyne,Belgium,New Zealand
1,Nathan Saliba,Canada,Qatar
1,Goncalo Ramos,Portugal,Croatia
1,Amine Gouiri,Algeria,Jordan
1,Cyle Larin,Canada,Bosnia and Herzegovina
1,Fabian,Spain,Belgium
1,Sebastian Berhalter,United States,Turkey
1,Abdulelah Al-Amri,Saudi Arabia,Uruguay
1,Giovani Lo Celso,Argentina,Jordan
1,Antonio Nusa,Norway,Ivory Coast
1,Mohamed Salah,Egypt,New Zealand
1,Harry Kane,England,Mexico
1,Johan Manzambi,Switzerland,Canada
1,Nathaniel Brown,Germany,Curacao
1,Mahmoud Saber,Egypt,Iran
1,Jaminton Leandro Campaz,Colombia,Uzbekistan
1,Cyle Larin,Canada,Qatar
1,Pedro Porro,Spain,Austria
1,Hyeon-gyu Oh,South Korea,Czech Republic
1,Kylian Mbappe,France,Morocco
1,Arda Guler,Turkey,United States
1,Rafik Belghali,Algeria,Austria
1,Issa Diop,Morocco,Netherlands
1,Crysensio Summerville,Netherlands,Sweden
1,Hassan Al Haidos,Qatar,Bosnia and Herzegovina
1,Felix Nmecha,Germany,Curacao
1,Ezri Konsa,England,France
1,Alex Baena,Spain,Uruguay
1,Luis Diaz,Colombia,Uzbekistan
