Goals,Clubs,VS Club
7,Curacao,Germany
6,France,England
6,Qatar,Canada
5,New Zealand,Belgium
5,Iraq,Senegal
5,Uzbekistan,Portugal
5,Sweden,Netherlands
5,Tunisia,Sweden
4,England,France
4,United States,Belgium
4,Norway,France
4,Haiti,Morocco
4,Saudi Arabia,Spain
4,Tunisia,Japan
4,Bosnia and Herzegovina,Switzerland
4,Croatia,England
4,Iraq,Norway
4,Paraguay,United States
3,Switzerland,Argentina
3,Egypt,Argentina
3,Mexico,England
3,Canada,Morocco
3,Cape Verde,Argentina
3,Austria,Spain
3,Senegal,Belgium
3,Sweden,France
3,Austria,Algeria
3,Algeria,Austria
3,Uzbekistan,DR Congo (Zaire)
3,Jordan,Argentina
3,United States,Turkey
3,Tunisia,Netherlands
3,Czech Republic,Mexico
3,Qatar,Bosnia and Herzegovina
3,Scotland,Brazil
3,Senegal,Norway
3,New Zealand,Egypt
3,Iraq,France
3,Haiti,Brazil
3,Uzbekistan,Colombia
3,Jordan,Austria
3,Algeria,Argentina
3,Senegal,France
2,England,Argentina
2,France,Spain
2,Norway,England
2,Belgium,Spain
2,Morocco,France
2,Argentina,Egypt
2,England,Mexico
