Goals,Clubs,VS Club,Sections
7,Germany,Curacao,Group Stage
6,England,France,Third Place Play Off
6,Canada,Qatar,Group Stage
5,Belgium,New Zealand,Group Stage
5,Senegal,Iraq,Group Stage
5,Portugal,Uzbekistan,Group Stage
5,Netherlands,Sweden,Group Stage
5,Sweden,Tunisia,Group Stage
4,France,England,Third Place Play Off
4,Belgium,United States,Round of 16
4,France,Norway,Group Stage
4,Morocco,Haiti,Group Stage
4,Spain,Saudi Arabia,Group Stage
4,Japan,Tunisia,Group Stage
4,Switzerland,Bosnia and Herzegovina,Group Stage
4,England,Croatia,Group Stage
4,Norway,Iraq,Group Stage
4,United States,Paraguay,Group Stage
3,Argentina,Switzerland,Quarter-Finals
3,Argentina,Egypt,Round of 16
3,England,Mexico,Round of 16
3,Morocco,Canada,Round of 16
3,Argentina,Cape Verde,Round of 32
3,Spain,Austria,Round of 32
3,Belgium,Senegal,Round of 32
3,France,Sweden,Round of 32
3,Algeria,Austria,Group Stage
3,Austria,Algeria,Group Stage
3,DR Congo (Zaire),Uzbekistan,Group Stage
3,Argentina,Jordan,Group Stage
3,Turkey,United States,Group Stage
3,Netherlands,Tunisia,Group Stage
3,Mexico,Czech Republic,Group Stage
3,Bosnia and Herzegovina,Qatar,Group Stage
3,Brazil,Scotland,Group Stage
3,Norway,Senegal,Group Stage
3,Egypt,New Zealand,Group Stage
3,France,Iraq,Group Stage
3,Brazil,Haiti,Group Stage
3,Colombia,Uzbekistan,Group Stage
3,Austria,Jordan,Group Stage
3,Argentina,Algeria,Group Stage
3,France,Senegal,Group Stage
2,Argentina,England,Semi-Finals
2,Spain,France,Semi-Finals
2,England,Norway,Quarter-Finals
2,Spain,Belgium,Quarter-Finals
2,France,Morocco,Quarter-Finals
2,Egypt,Argentina,Round of 16
2,Mexico,England,Round of 16
