Pos,Grp,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,K,DR Congo,3,1,1,1,4,3,+1,4,Advance to knockout stage
2,F,Sweden,3,1,1,1,7,7,0,4,Advance to knockout stage
3,L,Ghana,3,1,1,1,2,2,0,4[a],Advance to knockout stage
4,E,Ecuador,3,1,1,1,2,2,0,4[a],Advance to knockout stage
5,B,Bosnia and Herzegovina,3,1,1,1,5,6,−1,4,Advance to knockout stage
6,J,Algeria,3,1,1,1,5,7,−2,4,Advance to knockout stage
7,D,Paraguay,3,1,1,1,2,4,−2,4,Advance to knockout stage
8,I,Senegal,3,1,0,2,8,6,+2,3,Advance to knockout stage
9,G,Iran,3,0,3,0,3,3,0,3,
10,A,South Korea,3,1,0,2,2,3,−1,3,
11,C,Scotland,3,1,0,2,1,4,−3,3,
12,H,Uruguay,3,0,2,1,3,4,−1,2,
