0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,Round of 32,Round of 32,,,Round of 16,Round of 16,,,Quarterfinals,Quarterfinals,,,Semifinals,Semifinals,,,Final,Final
,,,,,,,,,,,,,,,,,,
,June 29 – Foxborough,June 29 – Foxborough,,,,,,,,,,,,,,,,
,June 29 – Foxborough,June 29 – Foxborough,,,,,,,,,,,,,,,,
,Germany,1 (3),,,,,,,,,,,,,,,,
,Germany,1 (3),,,July 4 – Philadelphia,July 4 – Philadelphia,,,,,,,,,,,,
,Paraguay (p),1 (4),,,July 4 – Philadelphia,July 4 – Philadelphia,,,,,,,,,,,,
,Paraguay (p),1 (4),,,Paraguay,0,,,,,,,,,,,,
,June 30 – East Rutherford,June 30 – East Rutherford,,,Paraguay,0,,,,,,,,,,,,
,June 30 – East Rutherford,June 30 – East Rutherford,,,France,1,,,,,,,,,,,,
,France,3,,,France,1,,,,,,,,,,,,
,France,3,,,,,,,July 9 – Foxborough,July 9 – Foxborough,,,,,,,,
,Sweden,0,,,,,,,July 9 – Foxborough,July 9 – Foxborough,,,,,,,,
,Sweden,0,,,,,,,France,2,,,,,,,,
,June 28 – Inglewood,June 28 – Inglewood,,,,,,,France,2,,,,,,,,
,June 28 – Inglewood,June 28 – Inglewood,,,,,,,Morocco,0,,,,,,,,
,South Africa,0,,,,,,,Morocco,0,,,,,,,,
,South Africa,0,,,July 4 – Houston,July 4 – Houston,,,,,,,,,,,,
,Canada,1,,,July 4 – Houston,July 4 – Houston,,,,,,,,,,,,
,Canada,1,,,Canada,0,,,,,,,,,,,,
,June 29 – Guadalupe,June 29 – Guadalupe,,,Canada,0,,,,,,,,,,,,
,June 29 – Guadalupe,June 29 – Guadalupe,,,Morocco,3,,,,,,,,,,,,
,Netherlands,1 (2),,,Morocco,3,,,,,,,,,,,,
,Netherlands,1 (2),,,,,,,,,,,July 14 – Arlington,July 14 – Arlington,,,,
,Morocco (p),1 (3),,,,,,,,,,,July 14 – Arlington,July 14 – Arlington,,,,
,Morocco (p),1 (3),,,,,,,,,,,France,0,,,,
,July 2 – Toronto,July 2 – Toronto,,,,,,,,,,,France,0,,,,
,July 2 – Toronto,July 2 – Toronto,,,,,,,,,,,Spain,2,,,,
,Portugal,2,,,,,,,,,,,Spain,2,,,,
,Portugal,2,,,July 6 – Arlington,July 6 – Arlington,,,,,,,,,,,,
,Croatia,1,,,July 6 – Arlington,July 6 – Arlington,,,,,,,,,,,,
,Croatia,1,,,Portugal,0,,,,,,,,,,,,
,July 2 – Inglewood,July 2 – Inglewood,,,Portugal,0,,,,,,,,,,,,
,July 2 – Inglewood,July 2 – Inglewood,,,Spain,1,,,,,,,,,,,,
,Spain,3,,,Spain,1,,,,,,,,,,,,
,Spain,3,,,,,,,July 10 – Inglewood,July 10 – Inglewood,,,,,,,,
,Austria,0,,,,,,,July 10 – Inglewood,July 10 – Inglewood,,,,,,,,
,Austria,0,,,,,,,Spain,2,,,,,,,,
,July 1 – Santa Clara,July 1 – Santa Clara,,,,,,,Spain,2,,,,,,,,
,July 1 – Santa Clara,July 1 – Santa Clara,,,,,,,Belgium,1,,,,,,,,
,United States,2,,,,,,,Belgium,1,,,,,,,,
,United States,2,,,July 6 – Seattle,July 6 – Seattle,,,,,,,,,,,,
,Bosnia and Herzegovina,0,,,July 6 – Seattle,July 6 – Seattle,,,,,,,,,,,,
,Bosnia and Herzegovina,0,,,United States,1,,,,,,,,,,,,
,July 1 – Seattle,July 1 – Seattle,,,United States,1,,,,,,,,,,,,
,July 1 – Seattle,July 1 – Seattle,,,Belgium,4,,,,,,,,,,,,
,Belgium (a.e.t.),3,,,Belgium,4,,,,,,,,,,,,
,Belgium (a.e.t.),3,,,,,,,,,,,,,,,July 19 – East Rutherford,July 19 – East Rutherford
,Senegal,2,,,,,,,,,,,,,,,July 19 – East Rutherford,July 19 – East Rutherford
,Senegal,2,,,,,,,,,,,,,,,Spain (a.e.t.),1
,June 29 – Houston,June 29 – Houston,,,,,,,,,,,,,,,Spain (a.e.t.),1
,June 29 – Houston,June 29 – Houston,,,,,,,,,,,,,,,Argentina,0
,Brazil,2,,,,,,,,,,,,,,,Argentina,0
,Brazil,2,,,July 5 – East Rutherford,July 5 – East Rutherford,,,,,,,,,,,,
,Japan,1,,,July 5 – East Rutherford,July 5 – East Rutherford,,,,,,,,,,,,
,Japan,1,,,Brazil,1,,,,,,,,,,,,
