team,games,goals,assists,shots,shots_on_target,goals_per90,goals_per_shot,shot_accuracy
Germany,4,11,10,74,28,2.54,0.1486,0.3784
France,8,20,18,139,59,2.5,0.1439,0.4245
England,8,20,14,118,53,2.4,0.1695,0.4492
Netherlands,4,10,10,46,22,2.31,0.2174,0.4783
Senegal,4,10,9,69,23,2.31,0.1449,0.3333
Belgium,6,13,10,112,34,2.05,0.1161,0.3036
Brazil,5,10,8,74,30,2.0,0.1351,0.4054
Argentina,8,18,12,114,44,2.0,0.1579,0.386
Japan,4,8,7,34,13,2.0,0.2353,0.3824
Mexico,5,10,7,70,21,2.0,0.1429,0.3
Norway,6,12,10,66,29,1.89,0.1818,0.4394
United States,5,9,4,59,19,1.8,0.1525,0.322
Sweden,4,7,6,48,23,1.75,0.1458,0.4792
Canada,5,8,3,80,31,1.6,0.1,0.3875
Morocco,6,10,9,69,26,1.58,0.1449,0.3768
Spain,8,13,10,140,54,1.56,0.0929,0.3857
Egypt,5,8,8,67,18,1.5,0.1194,0.2687
Switzerland,6,10,6,74,30,1.5,0.1351,0.4054
Croatia,4,6,5,37,17,1.5,0.1622,0.4595
Portugal,5,7,4,62,17,1.4,0.1129,0.2742
New Zealand,3,4,3,31,15,1.33,0.129,0.4839
Algeria,4,5,3,44,15,1.25,0.1136,0.3409
Congo DR,4,5,3,41,9,1.25,0.122,0.2195
Austria,4,5,4,32,8,1.25,0.1562,0.25
Côte d'Ivoire,4,5,4,45,14,1.25,0.1111,0.3111
IR Iran,3,3,1,37,11,1.0,0.0811,0.2973
Türkiye,3,3,3,71,16,1.0,0.0423,0.2254
Jordan,3,3,3,24,9,1.0,0.125,0.375
Bosnia–Herz,4,4,3,37,14,1.0,0.1081,0.3784
Uruguay,3,3,1,49,13,1.0,0.0612,0.2653
Colombia,5,5,5,94,30,0.94,0.0532,0.3191
Cabo Verde,4,4,2,49,12,0.92,0.0816,0.2449
Tunisia,3,2,2,18,6,0.67,0.1111,0.3333
Qatar,3,2,2,18,7,0.67,0.1111,0.3889
Uzbekistan,3,2,1,18,5,0.67,0.1111,0.2778
Czechia,3,2,2,34,8,0.67,0.0588,0.2353
Korea Republic,3,2,2,32,11,0.67,0.0625,0.3438
Paraguay,5,3,3,35,8,0.56,0.0857,0.2286
Ecuador,4,2,2,53,20,0.5,0.0377,0.3774
South Africa,4,2,1,39,11,0.5,0.0513,0.2821
Ghana,4,2,1,24,4,0.5,0.0833,0.1667
Australia,4,2,1,42,12,0.46,0.0476,0.2857
Curaçao,3,1,0,29,7,0.33,0.0345,0.2414
Iraq,3,1,1,21,2,0.33,0.0476,0.0952
Haiti,3,1,1,31,7,0.33,0.0323,0.2258
Scotland,3,1,0,29,7,0.33,0.0345,0.2414
Saudi Arabia,3,1,0,17,7,0.33,0.0588,0.4118
Panama,3,0,0,32,7,0.0,0.0,0.2188
