team,defensive_actions,tackles_won,interceptions,plus_minus_per90,team_performance_index
Argentina,175,93,82,1.22,1.61
Spain,152,88,64,1.56,1.56
France,142,77,65,1.25,1.875
Paraguay,141,88,53,-0.56,0.0
England,128,77,51,0.96,1.68
Norway,111,67,44,0.32,1.105
Switzerland,104,52,52,0.6,1.05
United States,102,42,60,0.6,1.2
Morocco,101,61,40,0.63,1.105
Egypt,98,54,44,0.19,0.845
Cabo Verde,97,45,52,-0.23,0.345
Belgium,97,47,50,1.11,1.58
Brazil,94,46,48,1.2,1.6
Côte d'Ivoire,88,48,40,0.25,0.75
Ecuador,87,49,38,-0.5,0.0
Canada,87,51,36,0.6,1.1
South Africa,85,38,47,-0.5,0.0
Germany,78,53,25,1.38,1.96
Algeria,74,44,30,-1.0,0.125
Uzbekistan,72,39,33,-3.0,-1.165
Ghana,71,40,31,-0.25,0.125
Bosnia–Herz,71,37,34,-0.75,0.125
Colombia,71,33,38,0.75,0.845
Austria,70,29,41,-0.75,0.25
Portugal,69,39,30,1.0,1.2
Mexico,68,32,36,1.4,1.7
IR Iran,68,36,32,0.0,0.5
Saudi Arabia,65,36,29,-1.33,-0.5
Curaçao,65,26,39,-2.67,-1.17
Jordan,64,31,33,-1.67,-0.335
Congo DR,63,41,22,0.0,0.625
Australia,63,34,29,0.0,0.23
Tunisia,63,36,27,-3.33,-1.33
Netherlands,63,27,36,1.38,1.845
Sweden,61,30,31,-0.75,0.5
Senegal,60,29,31,0.23,1.27
Iraq,58,35,23,-3.67,-1.67
Croatia,57,32,25,-0.25,0.625
Uruguay,57,25,32,-0.33,0.335
Haiti,57,28,29,-2.0,-0.835
Türkiye,57,39,18,-0.67,0.165
Japan,51,32,19,0.75,1.375
Qatar,49,24,25,-2.67,-1.0
New Zealand,45,21,24,-2.0,-0.335
Korea Republic,43,23,20,-0.33,0.17
Scotland,42,25,17,-1.0,-0.335
Panama,42,27,15,-1.33,-0.665
Czechia,38,19,19,-1.33,-0.33
