team,goals,shots,shots_on_target,goals_per_shot,shot_accuracy,team_performance_index
Japan,8,34,13,0.2353,0.3824,1.375
Netherlands,10,46,22,0.2174,0.4783,1.845
Norway,12,66,29,0.1818,0.4394,1.105
England,20,118,53,0.1695,0.4492,1.68
Croatia,6,37,17,0.1622,0.4595,0.625
Argentina,18,114,44,0.1579,0.386,1.61
Austria,5,32,8,0.1562,0.25,0.25
United States,9,59,19,0.1525,0.322,1.2
Germany,11,74,28,0.1486,0.3784,1.96
Sweden,7,48,23,0.1458,0.4792,0.5
Morocco,10,69,26,0.1449,0.3768,1.105
Senegal,10,69,23,0.1449,0.3333,1.27
France,20,139,59,0.1439,0.4245,1.875
Mexico,10,70,21,0.1429,0.3,1.7
Switzerland,10,74,30,0.1351,0.4054,1.05
Brazil,10,74,30,0.1351,0.4054,1.6
New Zealand,4,31,15,0.129,0.4839,-0.335
Jordan,3,24,9,0.125,0.375,-0.335
Congo DR,5,41,9,0.122,0.2195,0.625
Egypt,8,67,18,0.1194,0.2687,0.845
Belgium,13,112,34,0.1161,0.3036,1.58
Algeria,5,44,15,0.1136,0.3409,0.125
Portugal,7,62,17,0.1129,0.2742,1.2
Qatar,2,18,7,0.1111,0.3889,-1.0
Côte d'Ivoire,5,45,14,0.1111,0.3111,0.75
Tunisia,2,18,6,0.1111,0.3333,-1.33
Uzbekistan,2,18,5,0.1111,0.2778,-1.165
Bosnia–Herz,4,37,14,0.1081,0.3784,0.125
Canada,8,80,31,0.1,0.3875,1.1
Spain,13,140,54,0.0929,0.3857,1.56
Paraguay,3,35,8,0.0857,0.2286,0.0
Ghana,2,24,4,0.0833,0.1667,0.125
Cabo Verde,4,49,12,0.0816,0.2449,0.345
IR Iran,3,37,11,0.0811,0.2973,0.5
Korea Republic,2,32,11,0.0625,0.3438,0.17
Uruguay,3,49,13,0.0612,0.2653,0.335
Czechia,2,34,8,0.0588,0.2353,-0.33
Saudi Arabia,1,17,7,0.0588,0.4118,-0.5
Colombia,5,94,30,0.0532,0.3191,0.845
South Africa,2,39,11,0.0513,0.2821,0.0
Australia,2,42,12,0.0476,0.2857,0.23
Iraq,1,21,2,0.0476,0.0952,-1.67
Türkiye,3,71,16,0.0423,0.2254,0.165
Ecuador,2,53,20,0.0377,0.3774,0.0
Curaçao,1,29,7,0.0345,0.2414,-1.17
Scotland,1,29,7,0.0345,0.2414,-0.335
Haiti,1,31,7,0.0323,0.2258,-0.835
Panama,0,32,7,0.0,0.2188,-0.665
