team,goals,shots,shots_on_target,goals_per_shot,shot_accuracy,shots_per_goal
Haiti,1,31,7,0.0323,0.2258,31.0
Scotland,1,29,7,0.0345,0.2414,29.0
Curaçao,1,29,7,0.0345,0.2414,29.0
Ecuador,2,53,20,0.0377,0.3774,26.5
Türkiye,3,71,16,0.0423,0.2254,23.666666666666668
Australia,2,42,12,0.0476,0.2857,21.0
Iraq,1,21,2,0.0476,0.0952,21.0
South Africa,2,39,11,0.0513,0.2821,19.5
Colombia,5,94,30,0.0532,0.3191,18.8
Czechia,2,34,8,0.0588,0.2353,17.0
Saudi Arabia,1,17,7,0.0588,0.4118,17.0
Uruguay,3,49,13,0.0612,0.2653,16.333333333333332
Korea Republic,2,32,11,0.0625,0.3438,16.0
IR Iran,3,37,11,0.0811,0.2973,12.333333333333334
Cabo Verde,4,49,12,0.0816,0.2449,12.25
Ghana,2,24,4,0.0833,0.1667,12.0
Paraguay,3,35,8,0.0857,0.2286,11.666666666666666
Spain,13,140,54,0.0929,0.3857,10.76923076923077
Canada,8,80,31,0.1,0.3875,10.0
Bosnia–Herz,4,37,14,0.1081,0.3784,9.25
Qatar,2,18,7,0.1111,0.3889,9.0
Tunisia,2,18,6,0.1111,0.3333,9.0
Côte d'Ivoire,5,45,14,0.1111,0.3111,9.0
Uzbekistan,2,18,5,0.1111,0.2778,9.0
Portugal,7,62,17,0.1129,0.2742,8.857142857142858
Algeria,5,44,15,0.1136,0.3409,8.8
Belgium,13,112,34,0.1161,0.3036,8.615384615384615
Egypt,8,67,18,0.1194,0.2687,8.375
Congo DR,5,41,9,0.122,0.2195,8.2
Jordan,3,24,9,0.125,0.375,8.0
New Zealand,4,31,15,0.129,0.4839,7.75
Switzerland,10,74,30,0.1351,0.4054,7.4
Brazil,10,74,30,0.1351,0.4054,7.4
Mexico,10,70,21,0.1429,0.3,7.0
France,20,139,59,0.1439,0.4245,6.95
Senegal,10,69,23,0.1449,0.3333,6.9
Morocco,10,69,26,0.1449,0.3768,6.9
Sweden,7,48,23,0.1458,0.4792,6.857142857142857
Germany,11,74,28,0.1486,0.3784,6.7272727272727275
United States,9,59,19,0.1525,0.322,6.555555555555555
Austria,5,32,8,0.1562,0.25,6.4
Argentina,18,114,44,0.1579,0.386,6.333333333333333
Croatia,6,37,17,0.1622,0.4595,6.166666666666667
England,20,118,53,0.1695,0.4492,5.9
Norway,12,66,29,0.1818,0.4394,5.5
Netherlands,10,46,22,0.2174,0.4783,4.6
Japan,8,34,13,0.2353,0.3824,4.25
Panama,0,32,7,0.0,0.2188,
