player,team,assists
Michael Olise,France,7.0
Kylian Mbappé,France,4.0
Lionel Messi,Argentina,4.0
Bruno Guimarães,Brazil,4.0
Brahim Díaz,Morocco,4.0
Martin Ødegaard,Norway,4.0
Florian Wirtz,Germany,3.0
Bukayo Saka,England,3.0
Anthony Gordon,England,3.0
Roberto Alvarado,Mexico,3.0
Andreas Schjelderup,Norway,3.0
Alexander Isak,Sweden,3.0
Ousmane Dembélé,France,2.0
Nicolas Raskin,Belgium,2.0
Joshua Kimmich,Germany,2.0
Nathan Saliba,Canada,2.0
Declan Rice,England,2.0
Achraf Hakimi,Morocco,2.0
Leandro Trossard,Belgium,2.0
Crysencio Summerville,Netherlands,2.0
