player,team,goal_contribution
Kylian Mbappé,France,14.0
Lionel Messi,Argentina,12.0
Ousmane Dembélé,France,8.0
Jude Bellingham,England,8.0
Michael Olise,France,7.0
Harry Kane,England,7.0
Erling Haaland,Norway,7.0
Mikel Oyarzabal,Spain,6.0
Bukayo Saka,England,6.0
Deniz Undav,Germany,5.0
Julián Quiñones,Mexico,5.0
Johan Manzambi,Switzerland,5.0
Ismaila Sarr,Senegal,5.0
Vinicius Júnior,Brazil,5.0
Breel Embolo,Switzerland,4.0
Alexander Isak,Sweden,4.0
Martin Ødegaard,Norway,4.0
Romelu Lukaku,Belgium,4.0
Brahim Díaz,Morocco,4.0
Crysencio Summerville,Netherlands,4.0
