player,team,goals
Kylian Mbappé,France,10.0
Lionel Messi,Argentina,8.0
Erling Haaland,Norway,7.0
Jude Bellingham,England,7.0
Ousmane Dembélé,France,6.0
Harry Kane,England,6.0
Mikel Oyarzabal,Spain,5.0
Julián Quiñones,Mexico,4.0
Vinicius Júnior,Brazil,4.0
Ismaila Sarr,Senegal,4.0
Lautaro Martínez,Argentina,3.0
Charles De Ketelaere,Belgium,3.0
Folarin Balogun,United States,3.0
Johan Manzambi,Switzerland,3.0
Cody Gakpo,Netherlands,3.0
Cristiano Ronaldo,Portugal,3.0
Deniz Undav,Germany,3.0
Romelu Lukaku,Belgium,3.0
Raúl Jiménez,Mexico,3.0
Brian Brobbey,Netherlands,3.0
