player,team,gk_saves,gk_clean_sheets,gk_save_pct
Orlando Gill,Paraguay,23.0,2.0,79.3
Eloy Room,Curaçao,20.0,1.0,69.0
Gregor Kobel,Switzerland,20.0,2.0,76.9
Emiliano Martínez,Argentina,20.0,2.0,71.4
Diogo Costa,Portugal,19.0,2.0,86.4
Vozinha,Cabo Verde,18.0,2.0,78.3
Bart Verbruggen,Netherlands,16.0,0.0,76.2
Mohammed Al-Owais,Saudi Arabia,16.0,1.0,76.2
Alireza Beiranvand,IR Iran,15.0,1.0,83.3
Jordan Pickford,England,15.0,2.0,65.2
Ørjan Nyland,Norway,15.0,0.0,68.2
Thibaut Courtois,Belgium,14.0,1.0,70.0
Patrick Beach,Australia,14.0,2.0,82.4
Yassine Bounou,Morocco,14.0,2.0,70.0
Lionel Mpasi,Congo DR,14.0,0.0,73.7
Alisson,Brazil,14.0,2.0,77.8
Alexander Schlager,Austria,13.0,0.0,59.1
Mahmoud Abunada,Qatar,12.0,0.0,54.5
Zion Suzuki,Japan,12.0,1.0,70.6
Mostafa Shobeir,Egypt,12.0,0.0,63.2
