player,team,position,age,minutes,goals,assists,goal_contributions_per90,performance_index
Nathan Saliba,Canada,MF,22,182.0,1.0,2.0,1.48,2.488
Livano Comenencia,Curaçao,MF,22,233.0,1.0,0.0,0.39,2.08
Andreas Schjelderup,Norway,FW,22,252.0,1.0,3.0,1.4300000000000002,2.001
Diego Gómez,Paraguay,MF,23,304.0,0.0,0.0,0.0,1.765
Christ Inao Oulaï,Côte d'Ivoire,MF,20,208.0,0.0,0.0,0.0,1.739
Amad Diallo,Côte d'Ivoire,"MF,FW",23,185.0,2.0,0.0,0.97,1.725
Elliot Anderson,England,MF,23,632.0,0.0,1.0,0.14,1.57
Paul Okon-Engstler,Australia,MF,21,197.0,0.0,1.0,0.46,1.549
Alex Freeman,United States,DF,21,374.0,1.0,1.0,0.48,1.526
Jude Bellingham,England,MF,22,614.0,7.0,1.0,1.18,1.473
Nathaniel Brown,Germany,DF,22,282.0,1.0,1.0,0.64,1.416
Abbosbek Fayzullayev,Uzbekistan,MF,22,220.0,1.0,0.0,0.41,1.413
Johan Manzambi,Switzerland,"MF,FW",20,199.0,3.0,2.0,2.26,1.356
Pedri,Spain,MF,23,499.0,0.0,0.0,0.0,1.309
Florian Wirtz,Germany,MF,23,361.0,0.0,3.0,0.75,1.25
Yan Diomandé,Côte d'Ivoire,"MF,FW",19,329.0,0.0,1.0,0.27,1.243
Tarik Muharemovic,Bosnia–Herz,DF,23,259.0,0.0,0.0,0.0,1.241
Benjamin Tahirovic,Bosnia–Herz,MF,23,237.0,0.0,0.0,0.0,1.231
Nathan Ngoy,Belgium,DF,23,335.0,0.0,0.0,0.0,1.189
Deveron Fonville,Curaçao,DF,23,241.0,0.0,0.0,0.0,1.185
