player,team,position,minutes,tackles_won,interceptions,defensive_actions,defensive_actions_per90
Marvin Senaya,Ghana,DF,278.0,12.0,6.0,18.0,5.806
Rayan Aït-Nouri,Algeria,DF,284.0,13.0,5.0,18.0,5.625
Aurélien Tchouaméni,France,MF,360.0,14.0,6.0,20.0,5.0
Merchas Doski,Iraq,DF,270.0,9.0,6.0,15.0,5.0
Mohanad Lasheen,Egypt,MF,359.0,11.0,8.0,19.0,4.75
Khuliso Mudau,South Africa,DF,360.0,8.0,11.0,19.0,4.75
Livano Comenencia,Curaçao,MF,233.0,1.0,11.0,12.0,4.615
Mohamed Amine Ben Hamida,Tunisia,DF,202.0,9.0,1.0,10.0,4.545
Andrés Cubas,Paraguay,MF,480.0,13.0,11.0,24.0,4.528
Diego Gómez,Paraguay,MF,304.0,6.0,9.0,15.0,4.412
Christ Inao Oulaï,Côte d'Ivoire,MF,208.0,4.0,6.0,10.0,4.348
Matías Galarza,Paraguay,MF,388.0,11.0,7.0,18.0,4.186
Frenkie de Jong,Netherlands,MF,328.0,7.0,8.0,15.0,4.167
Saeid Ezatolahi,IR Iran,MF,264.0,5.0,7.0,12.0,4.138
Nathan Saliba,Canada,MF,182.0,4.0,4.0,8.0,4.0
Pedro Vite,Ecuador,MF,360.0,11.0,5.0,16.0,4.0
Yazan Al-Arab,Jordan,DF,270.0,1.0,11.0,12.0,4.0
Sphephelo Sithole,South Africa,MF,229.0,5.0,5.0,10.0,4.0
Ali Abdi,Tunisia,DF,269.0,8.0,4.0,12.0,4.0
Rodrigo Bentancur,Uruguay,MF,270.0,5.0,7.0,12.0,4.0
