home_team,away_team,home_score,away_score,total_goals,result
France,England,4.0,6.0,10.0,Away Win
Germany,Curaçao,7.0,1.0,8.0,Home Win
Sweden,Tunisia,5.0,1.0,6.0,Home Win
England,Croatia,4.0,2.0,6.0,Home Win
Canada,Qatar,6.0,0.0,6.0,Home Win
Netherlands,Sweden,5.0,1.0,6.0,Home Win
Morocco,Haiti,4.0,2.0,6.0,Home Win
New Zealand,Belgium,1.0,5.0,6.0,Away Win
Algeria,Austria,3.0,3.0,6.0,Draw
United States,Paraguay,4.0,1.0,5.0,Home Win
Iraq,Norway,1.0,4.0,5.0,Away Win
Switzerland,Bosnia–Herz,4.0,1.0,5.0,Home Win
Norway,Senegal,3.0,2.0,5.0,Home Win
Portugal,Uzbekistan,5.0,0.0,5.0,Home Win
Türkiye,United States,3.0,2.0,5.0,Home Win
