player,team,position,goals,assists,goal_contributions,team_goals,possession
Kylian Mbappé,France,FW,10.0,4.0,14.0,20,55.9
Lionel Messi,Argentina,FW,8.0,4.0,12.0,18,57.6
Jude Bellingham,England,MF,7.0,1.0,8.0,20,54.1
Ousmane Dembélé,France,MF,6.0,2.0,8.0,20,55.9
Harry Kane,England,FW,6.0,1.0,7.0,20,54.1
Michael Olise,France,MF,0.0,7.0,7.0,20,55.9
Erling Haaland,Norway,FW,7.0,0.0,7.0,12,52.2
Bukayo Saka,England,MF,3.0,3.0,6.0,20,54.1
Mikel Oyarzabal,Spain,FW,5.0,1.0,6.0,13,64.1
Vinicius Júnior,Brazil,FW,4.0,1.0,5.0,10,53.0
Deniz Undav,Germany,FW,3.0,2.0,5.0,11,65.0
Julián Quiñones,Mexico,"FW,MF",4.0,1.0,5.0,10,52.2
Ismaila Sarr,Senegal,"MF,FW",4.0,1.0,5.0,10,55.3
Johan Manzambi,Switzerland,"MF,FW",3.0,2.0,5.0,10,54.0
Lautaro Martínez,Argentina,FW,3.0,1.0,4.0,18,57.6
Charles De Ketelaere,Belgium,"FW,MF",3.0,1.0,4.0,13,51.2
Leandro Trossard,Belgium,"MF,FW",2.0,2.0,4.0,13,51.2
Romelu Lukaku,Belgium,FW,3.0,1.0,4.0,13,51.2
Bruno Guimarães,Brazil,MF,0.0,4.0,4.0,10,53.0
Anthony Gordon,England,MF,1.0,3.0,4.0,20,54.1
