team,goals,shots,shots_on_target,goals_per_shot
Japan,8,34,13,0.2353
Netherlands,10,46,22,0.2174
Norway,12,66,29,0.1818
England,20,118,53,0.1695
Croatia,6,37,17,0.1622
Argentina,18,114,44,0.1579
Austria,5,32,8,0.1562
United States,9,59,19,0.1525
Germany,11,74,28,0.1486
Sweden,7,48,23,0.1458
Morocco,10,69,26,0.1449
Senegal,10,69,23,0.1449
France,20,139,59,0.1439
Mexico,10,70,21,0.1429
Brazil,10,74,30,0.1351
Switzerland,10,74,30,0.1351
New Zealand,4,31,15,0.129
Jordan,3,24,9,0.125
Congo DR,5,41,9,0.122
Egypt,8,67,18,0.1194
