team,games,goals,assists,shots,shots_on_target,goals_per90
England,8,20,14,118,53,2.4
France,8,20,18,139,59,2.5
Argentina,8,18,12,114,44,2.0
Belgium,6,13,10,112,34,2.05
Spain,8,13,10,140,54,1.56
Norway,6,12,10,66,29,1.89
Germany,4,11,10,74,28,2.54
Brazil,5,10,8,74,30,2.0
Mexico,5,10,7,70,21,2.0
Morocco,6,10,9,69,26,1.58
Netherlands,4,10,10,46,22,2.31
Senegal,4,10,9,69,23,2.31
Switzerland,6,10,6,74,30,1.5
United States,5,9,4,59,19,1.8
Canada,5,8,3,80,31,1.6
Egypt,5,8,8,67,18,1.5
Japan,4,8,7,34,13,2.0
Portugal,5,7,4,62,17,1.4
Sweden,4,7,6,48,23,1.75
Croatia,4,6,5,37,17,1.5
