player,team,position,goals,assists,minutes
Kylian Mbappé,France,FW,10.0,4.0,695.0
Lionel Messi,Argentina,FW,8.0,4.0,740.0
Jude Bellingham,England,MF,7.0,1.0,614.0
Erling Haaland,Norway,FW,7.0,0.0,465.0
Ousmane Dembélé,France,MF,6.0,2.0,592.0
Harry Kane,England,FW,6.0,1.0,652.0
Mikel Oyarzabal,Spain,FW,5.0,1.0,601.0
Vinicius Júnior,Brazil,FW,4.0,1.0,440.0
Julián Quiñones,Mexico,"FW,MF",4.0,1.0,410.0
Ismaila Sarr,Senegal,"MF,FW",4.0,1.0,364.0
Bukayo Saka,England,MF,3.0,3.0,358.0
Deniz Undav,Germany,FW,3.0,2.0,151.0
Johan Manzambi,Switzerland,"MF,FW",3.0,2.0,199.0
Lautaro Martínez,Argentina,FW,3.0,1.0,310.0
Charles De Ketelaere,Belgium,"FW,MF",3.0,1.0,350.0
Romelu Lukaku,Belgium,FW,3.0,1.0,233.0
Bradley Barcola,France,MF,3.0,1.0,384.0
Cody Gakpo,Netherlands,FW,3.0,1.0,368.0
Matheus Cunha,Brazil,FW,3.0,0.0,290.0
Jonathan David,Canada,FW,3.0,0.0,420.0
